,,,,,,,,,
,,,,,,,,,
MXAR Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,
MSCI Argentina Index Max Cuml Total Return 7226.4397% On 01/31/2018,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,2853.07,1.47124,2753.07%,5065.35%,12.51%,12.57%,,,
11/30/2022,2535.93,5.63907,2435.93%,4488.66%,6.41%,6.65%,,,
10/31/2022,2383.19,--,2283.19%,4202.53%,10.55%,10.55%,,,
,,,,,,,,,
9/30/2022,2155.69,5.96919,2055.69%,3791.81%,-1.31%,-1.03%,,,
8/31/2022,2184.25,--,2084.25%,3832.51%,11.04%,11.04%,,,
7/29/2022,1967.05,--,1867.05%,3441.46%,9.09%,9.09%,,,
,,,,,,,,,
6/30/2022,1803.1,12.86424,1703.10%,3146.29%,-20.38%,-19.82%,,,
5/31/2022,2264.71,32.81242,2164.71%,3948.67%,1.79%,3.30%,,,
4/29/2022,2224.99,--,2124.99%,3819.37%,-13.22%,-13.22%,,,
,,,,,,,,,
3/31/2022,2564.03,--,2464.03%,4416.60%,15.45%,15.45%,,,
2/28/2022,2220.87,--,2120.87%,3812.12%,-2.20%,-2.20%,,,
1/31/2022,2270.85,--,2170.85%,3900.16%,5.19%,5.19%,,,
,,,,,,,,,
12/31/2021,2158.8,--,2058.80%,3702.78%,7.61%,7.61%,,,
11/30/2021,2006.05,--,1906.05%,3433.71%,-16.47%,-16.47%,,,
10/29/2021,2401.68,--,2301.68%,4130.62%,10.77%,10.77%,,,
,,,,,,,,,
9/30/2021,2168.16,--,2068.16%,3719.27%,-12.05%,-12.05%,,,
8/31/2021,2465.33,--,2365.33%,4242.74%,30.47%,30.47%,,,
7/30/2021,1889.59,--,1789.59%,3228.56%,6.42%,6.42%,,,
,,,,,,,,,
6/30/2021,1775.67,--,1675.67%,3027.89%,-0.10%,-0.10%,,,
5/31/2021,1777.5,--,1677.50%,3031.11%,-1.47%,-1.47%,,,
4/30/2021,1803.99,--,1703.99%,3077.77%,7.48%,7.48%,,,
,,,,,,,,,
3/31/2021,1678.5,--,1578.50%,2856.72%,-3.68%,-3.68%,,,
2/26/2021,1742.7,--,1642.70%,2969.81%,11.01%,11.01%,,,
1/29/2021,1569.83,--,1469.83%,2665.29%,-12.05%,-12.05%,,,
,,,,,,,,,
12/31/2020,1784.94,--,1684.94%,3044.21%,9.91%,9.91%,,,
11/30/2020,1624,--,1524.00%,2760.71%,10.18%,10.18%,,,
10/30/2020,1473.91,--,1373.91%,2496.33%,-0.28%,-0.28%,,,
,,,,,,,,,
9/30/2020,1478.02,--,1378.02%,2503.57%,-3.85%,-3.85%,,,
8/31/2020,1537.21,--,1437.21%,2607.83%,-1.39%,-1.39%,,,
7/31/2020,1558.95,--,1458.95%,2646.13%,12.51%,12.51%,,,
,,,,,,,,,
6/30/2020,1385.62,--,1285.62%,2340.80%,7.88%,7.88%,,,
5/29/2020,1284.38,--,1184.38%,2162.47%,19.85%,19.85%,,,
4/30/2020,1071.66,--,971.66%,1787.75%,11.14%,11.14%,,,
,,,,,,,,,
3/31/2020,964.24,--,864.24%,1598.53%,-32.06%,-32.06%,,,
2/28/2020,1419.32,--,1319.32%,2400.17%,-8.26%,-8.26%,,,
1/31/2020,1547.15,--,1447.15%,2625.34%,-2.64%,-2.64%,,,
,,,,,,,,,
12/31/2019,1589.06,--,1489.06%,2699.17%,13.21%,13.21%,,,
11/29/2019,1403.63,--,1303.63%,2372.53%,7.10%,7.10%,,,
10/31/2019,1310.6,8.26166,1210.60%,2208.65%,-5.32%,-4.75%,,,
,,,,,,,,,
9/30/2019,1384.17,--,1284.17%,2323.68%,8.50%,8.50%,,,
8/30/2019,1275.77,3.4165,1175.77%,2133.87%,-50.53%,-50.43%,,,
7/31/2019,2579,3.32491,2479.00%,4406.39%,-1.28%,-1.15%,,,
,,,,,,,,,
6/28/2019,2612.34,--,2512.34%,4459.03%,26.60%,26.60%,,,
5/31/2019,2063.48,21.01448,1963.48%,3501.17%,11.81%,13.00%,,,
4/30/2019,1845.49,10.18163,1745.49%,3086.94%,-8.33%,-7.85%,,,
,,,,,,,,,
3/29/2019,2013.08,--,1913.08%,3358.42%,-8.47%,-8.47%,,,
2/28/2019,2199.35,--,2099.35%,3678.43%,-10.58%,-10.58%,,,
1/31/2019,2459.46,--,2359.46%,4125.29%,19.72%,19.72%,,,
,,,,,,,,,
12/31/2018,2054.33,1.57627,1954.33%,3429.29%,-4.84%,-4.76%,,,
11/30/2018,2158.86,--,2058.86%,3605.71%,5.62%,5.62%,,,
10/31/2018,2044.07,--,1944.07%,3408.67%,-1.89%,-1.89%,,,
,,,,,,,,,
9/28/2018,2083.4,2.30459,1983.40%,3476.18%,4.20%,4.31%,,,
8/31/2018,1999.52,2.33074,1899.52%,3328.35%,-23.71%,-23.62%,,,
7/31/2018,2620.85,1.90794,2520.85%,4388.79%,14.02%,14.10%,,,
,,,,,,,,,
6/29/2018,2298.66,--,2198.66%,3833.92%,-21.96%,-21.96%,,,
5/31/2018,2945.48,20.20849,2845.48%,4940.89%,-22.41%,-21.91%,,,
4/30/2018,3796.04,--,3696.04%,6355.31%,-4.68%,-4.68%,,,
,,,,,,,,,
3/30/2018,3982.24,11.5453,3882.24%,6671.95%,-2.89%,-2.61%,,,
2/28/2018,4100.89,22.24096,4000.89%,6853.52%,-5.63%,-5.09%,,,
1/31/2018,4345.42,--,4245.42%,7226.44%,2.16%,2.16%,,,
,,,,,,,,,
12/29/2017,4253.46,17.22152,4153.46%,7071.39%,6.26%,6.68%,,,
11/30/2017,4002.96,--,3902.96%,6622.59%,-4.70%,-4.70%,,,
10/31/2017,4200.58,--,4100.58%,6954.48%,5.59%,5.59%,,,
,,,,,,,,,
9/29/2017,3978.25,0.00666,3878.25%,6581.09%,10.34%,10.34%,,,
8/31/2017,3605.57,2.67552,3505.57%,5955.20%,11.07%,11.16%,,,
7/31/2017,3246.32,2.71564,3146.32%,5347.38%,-6.92%,-6.85%,,,
,,,,,,,,,
6/30/2017,3487.66,4.49056,3387.66%,5747.92%,-3.57%,-3.45%,,,
5/31/2017,3616.7,2.99838,3516.70%,5956.77%,5.89%,5.98%,,,
4/28/2017,3415.47,--,3315.47%,5614.88%,2.62%,2.62%,,,
,,,,,,,,,
3/31/2017,3328.18,--,3228.18%,5468.83%,12.82%,12.82%,,,
2/28/2017,2950.11,--,2850.11%,4836.23%,0.89%,0.89%,,,
1/31/2017,2924,--,2824.00%,4792.54%,18.42%,18.42%,,,
,,,,,,,,,
12/30/2016,2469.08,--,2369.08%,4031.35%,-2.68%,-2.68%,,,
11/30/2016,2537.17,--,2437.17%,4145.28%,-9.05%,-9.05%,,,
10/31/2016,2789.61,--,2689.61%,4567.67%,-0.82%,-0.82%,,,
,,,,,,,,,
9/30/2016,2812.62,--,2712.62%,4606.17%,5.34%,5.34%,,,
8/31/2016,2670.1,12.42836,2570.10%,4367.70%,-2.64%,-2.20%,,,
7/29/2016,2742.63,8.06217,2642.63%,4468.02%,-0.52%,-0.23%,,,
,,,,,,,,,
6/30/2016,2756.92,--,2656.92%,4478.56%,3.04%,3.04%,,,
5/31/2016,2675.68,7.03483,2575.68%,4343.64%,0.06%,0.32%,,,
4/29/2016,2674.1,--,2574.10%,4329.30%,3.96%,3.96%,,,
,,,,,,,,,
3/31/2016,2572.16,3.45137,2472.16%,4160.45%,-3.58%,-3.45%,,,
2/29/2016,2667.57,--,2567.57%,4312.63%,8.34%,8.34%,,,
1/29/2016,2462.19,--,2362.19%,3972.89%,3.61%,3.61%,,,
,,,,,,,,,
12/31/2015,2376.29,--,2276.29%,3830.80%,-3.80%,-3.80%,,,
11/30/2015,2470.09,--,2370.09%,3985.96%,-9.89%,-9.89%,,,
10/30/2015,2741.06,--,2641.06%,4434.19%,44.94%,44.94%,,,
,,,,,,,,,
9/30/2015,1891.13,--,1791.13%,3028.26%,-17.39%,-17.39%,,,
8/31/2015,2289.17,1.22245,2189.17%,3686.69%,-1.34%,-1.30%,,,
7/31/2015,2320.3,5.83098,2220.30%,3736.39%,-10.24%,-10.03%,,,
,,,,,,,,,
6/30/2015,2585.08,--,2485.08%,4164.06%,-4.33%,-4.33%,,,
5/29/2015,2702.02,14.11013,2602.02%,4356.96%,-8.97%,-8.53%,,,
4/30/2015,2968.33,--,2868.33%,4772.56%,-1.25%,-1.25%,,,
,,,,,,,,,
3/31/2015,3006.02,--,2906.02%,4834.43%,9.65%,9.65%,,,
2/27/2015,2741.38,--,2641.38%,4400.02%,20.23%,20.23%,,,
1/30/2015,2280.16,--,2180.16%,3642.92%,-5.20%,-5.20%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXAR Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,
MSCI Argentina Index Max Cuml Total Return 7226.4397% On 01/31/2018,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/31/2014,2405.3,--,2305.30%,3848.34%,-9.83%,-9.83%,,,
11/28/2014,2667.44,--,2567.44%,4278.65%,-1.20%,-1.20%,,,
10/31/2014,2699.74,--,2599.74%,4331.67%,3.17%,3.17%,,,
,,,,,,,,,
9/30/2014,2616.8,9.90181,2516.80%,4195.52%,11.32%,11.74%,,,
8/29/2014,2350.65,1.52096,2250.65%,3744.25%,-13.17%,-13.12%,,,
7/31/2014,2707.22,3.80782,2607.22%,4324.59%,6.16%,6.31%,,,
,,,,,,,,,
6/30/2014,2550.21,24.98712,2450.21%,4062.04%,10.73%,11.84%,,,
5/30/2014,2302.99,0.97723,2202.99%,3621.51%,3.84%,3.89%,,,
4/30/2014,2217.72,--,2117.72%,3482.13%,2.14%,2.14%,,,
,,,,,,,,,
3/31/2014,2171.16,--,2071.16%,3406.93%,16.42%,16.42%,,,
2/28/2014,1864.88,--,1764.88%,2912.21%,19.42%,19.42%,,,
1/31/2014,1561.64,--,1461.64%,2422.41%,-23.85%,-23.85%,,,
,,,,,,,,,
12/31/2013,2050.85,21.43973,1950.85%,3212.60%,-8.98%,-8.08%,,,
11/29/2013,2253.25,3.51343,2153.25%,3503.69%,20.20%,20.40%,,,
10/31/2013,1874.63,--,1774.63%,2892.99%,7.85%,7.85%,,,
,,,,,,,,,
9/30/2013,1738.17,--,1638.17%,2675.12%,12.71%,12.71%,,,
8/30/2013,1542.18,4.10346,1442.18%,2362.21%,12.03%,12.32%,,,
7/31/2013,1376.61,--,1276.61%,2092.20%,9.28%,9.28%,,,
,,,,,,,,,
6/28/2013,1259.76,--,1159.76%,1906.12%,-3.31%,-3.31%,,,
5/31/2013,1302.95,--,1202.95%,1974.90%,-3.52%,-3.52%,,,
4/30/2013,1350.51,--,1250.51%,2050.64%,4.91%,4.91%,,,
,,,,,,,,,
3/29/2013,1287.29,--,1187.29%,1949.96%,11.15%,11.15%,,,
2/28/2013,1158.18,--,1058.18%,1744.36%,-20.81%,-20.81%,,,
1/31/2013,1462.49,--,1362.49%,2228.96%,16.70%,16.70%,,,
,,,,,,,,,
12/31/2012,1253.17,5.49887,1153.17%,1895.63%,18.34%,18.83%,,,
11/30/2012,1058.96,4.6214,958.96%,1579.41%,5.01%,5.51%,,,
10/31/2012,1008.44,--,908.44%,1491.65%,-7.39%,-7.39%,,,
,,,,,,,,,
9/28/2012,1088.94,--,988.94%,1618.70%,2.11%,2.11%,,,
8/31/2012,1066.41,--,966.41%,1583.14%,0.01%,0.01%,,,
7/31/2012,1066.33,--,966.33%,1583.01%,-1.26%,-1.26%,,,
,,,,,,,,,
6/29/2012,1079.95,--,979.95%,1604.51%,-3.66%,-3.66%,,,
5/31/2012,1120.98,26.89681,1020.98%,1669.27%,-16.95%,-15.26%,,,
4/30/2012,1349.73,--,1249.73%,1987.91%,-29.73%,-29.73%,,,
,,,,,,,,,
3/30/2012,1920.75,--,1820.75%,2871.22%,0.27%,0.27%,,,
2/29/2012,1915.65,--,1815.65%,2863.33%,-17.45%,-17.45%,,,
1/31/2012,2320.58,--,2220.58%,3489.72%,13.22%,13.22%,,,
,,,,,,,,,
12/30/2011,2049.59,--,1949.59%,3070.52%,-3.92%,-3.92%,,,
11/30/2011,2133.21,44.44106,2033.21%,3199.88%,-2.47%,-0.47%,,,
10/31/2011,2187.25,--,2087.25%,3215.51%,1.80%,1.80%,,,
,,,,,,,,,
9/30/2011,2148.57,--,2048.57%,3156.87%,-19.68%,-19.68%,,,
8/31/2011,2675.1,--,2575.10%,3955.00%,-11.86%,-11.86%,,,
7/29/2011,3035.16,--,2935.16%,4500.80%,-3.56%,-3.56%,,,
,,,,,,,,,
6/30/2011,3147.22,--,3047.22%,4670.66%,4.83%,4.83%,,,
5/31/2011,3002.19,73.31914,2902.19%,4450.82%,-1.30%,1.17%,,,
4/29/2011,3041.59,54.21945,2941.59%,4398.21%,-3.26%,-1.56%,,,
,,,,,,,,,
3/31/2011,3144.07,--,3044.07%,4469.72%,-3.14%,-3.14%,,,
2/28/2011,3246.13,--,3146.13%,4618.06%,-8.07%,-8.07%,,,
1/31/2011,3531.19,--,3431.19%,5032.38%,-1.17%,-1.17%,,,
,,,,,,,,,
12/31/2010,3572.98,21.06696,3472.98%,5093.11%,4.83%,5.46%,,,
11/30/2010,3408.38,--,3308.38%,4824.20%,3.23%,3.23%,,,
10/29/2010,3301.88,--,3201.88%,4670.33%,16.04%,16.04%,,,
,,,,,,,,,
9/30/2010,2845.58,--,2745.58%,4011.10%,16.41%,16.41%,,,
8/31/2010,2444.42,11.16405,2344.42%,3431.53%,4.38%,4.84%,,,
7/30/2010,2341.83,--,2241.83%,3268.46%,15.90%,15.90%,,,
,,,,,,,,,
6/30/2010,2020.51,33.16517,1920.51%,2806.28%,3.58%,5.28%,,,
5/31/2010,1950.63,--,1850.63%,2660.50%,-10.95%,-10.95%,,,
4/30/2010,2190.39,33.94534,2090.39%,2999.81%,-1.01%,0.53%,,,
,,,,,,,,,
3/31/2010,2212.68,--,2112.68%,2983.57%,14.18%,14.18%,,,
2/26/2010,1937.88,--,1837.88%,2600.61%,-4.73%,-4.73%,,,
1/29/2010,2034.08,--,1934.08%,2734.67%,-3.19%,-3.19%,,,
,,,,,,,,,
12/31/2009,2101.04,5.9946,2001.04%,2827.99%,4.10%,4.40%,,,
11/30/2009,2018.35,12.17046,1918.35%,2704.64%,-1.83%,-1.25%,,,
