,,,,,,,,,,,
,,,,,,,,,,,
MXCA Index Settings Total Return Analysis,,,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,,,
MSCI Canada Index Max Cuml Total Return 3896.5891% On 03/31/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
12/30/2022,1801.81,5.89067,1592.73%,3253.37%,-5.18%,-4.87%,,,,,
11/30/2022,1900.2,4.70278,1685.16%,3425.12%,6.02%,6.29%,,,,,
10/31/2022,1792.24,4.76288,1583.74%,3216.53%,6.67%,6.96%,,,,,
,,,,,,,,,,,
9/30/2022,1680.12,5.70608,1478.41%,3000.61%,-9.03%,-8.74%,,,,,
8/31/2022,1846.89,6.21536,1635.07%,3297.48%,-4.31%,-4.00%,,,,,
7/29/2022,1930.02,5.04652,1713.17%,3438.99%,4.46%,4.75%,,,,,
,,,,,,,,,,,
6/30/2022,1847.55,5.99162,1635.69%,3278.64%,-10.53%,-10.25%,,,,,
5/31/2022,2065,4.42601,1839.99%,3664.57%,1.69%,1.92%,,,,,
4/29/2022,2030.66,4.88455,1807.72%,3593.65%,-7.79%,-7.58%,,,,,
,,,,,,,,,,,
3/31/2022,2202.26,6.8991,1968.93%,3896.59%,5.16%,5.50%,,,,,
2/28/2022,2094.21,3.17384,1867.42%,3688.36%,-0.14%,0.02%,,,,,
1/31/2022,2097.05,4.47248,1870.09%,3687.75%,-0.72%,-0.51%,,,,,
,,,,,,,,,,,
12/31/2021,2112.32,6.51962,1884.43%,3707.16%,4.25%,4.58%,,,,,
11/30/2021,2026.19,3.80163,1803.52%,3540.50%,-4.94%,-4.77%,,,,,
10/29/2021,2131.57,4.5581,1902.52%,3722.99%,7.59%,7.83%,,,,,
,,,,,,,,,,,
9/30/2021,1981.18,5.09703,1761.23%,3445.52%,-3.01%,-2.77%,,,,,
8/31/2021,2042.76,3.69777,1819.09%,3546.54%,0.08%,0.26%,,,,,
7/30/2021,2041.21,4.57245,1817.63%,3537.19%,-0.02%,0.21%,,,,,
,,,,,,,,,,,
