Date,Germany_GDP_Growth
1992-01,0.020693844188907216
1992-02,0.020693844188907216
1992-03,0.020693844188907216
1992-04,0.018212313131693542
1992-05,0.018212313131693542
1992-06,0.018212313131693542
1992-07,0.018662510990296147
1992-08,0.018662510990296147
1992-09,0.018662510990296147
1992-10,0.0024971286486998273
1992-11,0.0024971286486998273
1992-12,0.0024971286486998273
1993-01,-0.019775748494930617
1993-02,-0.019775748494930617
1993-03,-0.019775748494930617
1993-04,-0.012426692293545125
1993-05,-0.012426692293545125
1993-06,-0.012426692293545125
1993-07,-0.004932516572593237
1993-08,-0.004932516572593237
1993-09,-0.004932516572593237
1993-10,-0.002390187320200388
1993-11,-0.002390187320200388
1993-12,-0.002390187320200388
1994-01,0.018818962712732316
1994-02,0.018818962712732316
1994-03,0.018818962712732316
1994-04,0.02153729031099281
1994-05,0.02153729031099281
1994-06,0.02153729031099281
1994-07,0.022626150032670725
1994-08,0.022626150032670725
1994-09,0.022626150032670725
1994-10,0.035733105884287485
1994-11,0.035733105884287485
1994-12,0.035733105884287485
1995-01,0.017904745068659206
1995-02,0.017904745068659206
1995-03,0.017904745068659206
1995-04,0.022908988818528677
1995-05,0.022908988818528677
1995-06,0.022908988818528677
1995-07,0.017740066425669207
1995-08,0.017740066425669207
1995-09,0.017740066425669207
1995-10,0.00592984063575496
1995-11,0.00592984063575496
1995-12,0.00592984063575496
1996-01,0.0012752592500529995
1996-02,0.0012752592500529995
1996-03,0.0012752592500529995
1996-04,0.0074977419099354166
1996-05,0.0074977419099354166
1996-06,0.0074977419099354166
1996-07,0.009039268711925601
1996-08,0.009039268711925601
1996-09,0.009039268711925601
1996-10,0.016160757362528675
1996-11,0.016160757362528675
1996-12,0.016160757362528675
1997-01,0.01923298151633567
1997-02,0.01923298151633567
1997-03,0.01923298151633567
1997-04,0.018588951514522445
1997-05,0.018588951514522445
1997-06,0.018588951514522445
1997-07,0.018270090118386772
1997-08,0.018270090118386772
1997-09,0.018270090118386772
1997-10,0.01839016070928812
1997-11,0.01839016070928812
1997-12,0.01839016070928812
1998-01,0.03325570337163309
1998-02,0.03325570337163309
1998-03,0.03325570337163309
1998-04,0.015751113504715638
1998-05,0.015751113504715638
1998-06,0.015751113504715638
1998-07,0.017469012393160833
1998-08,0.017469012393160833
1998-09,0.017469012393160833
1998-10,0.005695640554822778
1998-11,0.005695640554822778
1998-12,0.005695640554822778
1999-01,0.007937971254320518
1999-02,0.007937971254320518
1999-03,0.007937971254320518
1999-04,0.012206204449962173
1999-05,0.012206204449962173
1999-06,0.012206204449962173
1999-07,0.018594825736122395
1999-08,0.018594825736122395
1999-09,0.018594825736122395
1999-10,0.031242812194004797
1999-11,0.031242812194004797
1999-12,0.031242812194004797
2000-01,0.03399247415459925
2000-02,0.03399247415459925
2000-03,0.03399247415459925
2000-04,0.04235988146848219
2000-05,0.04235988146848219
2000-06,0.04235988146848219
2000-07,0.030456125934281313
2000-08,0.030456125934281313
2000-09,0.030456125934281313
2000-10,0.01898094033714805
2000-11,0.01898094033714805
2000-12,0.01898094033714805
2001-01,0.02484224594616548
2001-02,0.02484224594616548
2001-03,0.02484224594616548
2001-04,0.016261324722915728
2001-05,0.016261324722915728
2001-06,0.016261324722915728
2001-07,0.01461558185807723
2001-08,0.01461558185807723
2001-09,0.01461558185807723
2001-10,0.01667262203841495
2001-11,0.01667262203841495
2001-12,0.01667262203841495
2002-01,-0.008476564660506355
2002-02,-0.008476564660506355
2002-03,-0.008476564660506355
2002-04,-0.0038332633675596927
2002-05,-0.0038332633675596927
2002-06,-0.0038332633675596927
2002-07,0.003142782002184611
2002-08,0.003142782002184611
2002-09,0.003142782002184611
2002-10,0.002679730253448
2002-11,0.002679730253448
