Date,Mexico_GDP_Growth
1994-01,0.03678517523469678
1994-02,0.03678517523469678
1994-03,0.03678517523469678
1994-04,0.05576131652992112
1994-05,0.05576131652992112
1994-06,0.05576131652992112
1994-07,0.05314461678101886
1994-08,0.05314461678101886
1994-09,0.05314461678101886
1994-10,0.05149072833133041
1994-11,0.05149072833133041
1994-12,0.05149072833133041
1995-01,-0.01903988911118526
1995-02,-0.01903988911118526
1995-03,-0.01903988911118526
1995-04,-0.08622640941380831
1995-05,-0.08622640941380831
1995-06,-0.08622640941380831
1995-07,-0.07603668027179263
1995-08,-0.07603668027179263
1995-09,-0.07603668027179263
1995-10,-0.06916616888280208
1995-11,-0.06916616888280208
1995-12,-0.06916616888280208
1996-01,0.014294554692394353
1996-02,0.014294554692394353
1996-03,0.014294554692394353
1996-04,0.0803932125097236
1996-05,0.0803932125097236
1996-06,0.0803932125097236
1996-07,0.07816920621713151
1996-08,0.07816920621713151
1996-09,0.07816920621713151
1996-10,0.08984161597639996
1996-11,0.08984161597639996
1996-12,0.08984161597639996
1997-01,0.06313851222121342
1997-02,0.06313851222121342
1997-03,0.06313851222121342
1997-04,0.07343971733684583
1997-05,0.07343971733684583
1997-06,0.07343971733684583
1997-07,0.07578954965384949
1997-08,0.07578954965384949
1997-09,0.07578954965384949
1997-10,0.07013980228650961
1997-11,0.07013980228650961
1997-12,0.07013980228650961
1998-01,0.07806563176148641
1998-02,0.07806563176148641
1998-03,0.07806563176148641
1998-04,0.06153294091100224
1998-05,0.06153294091100224
1998-06,0.06153294091100224
1998-07,0.04704007279009861
1998-08,0.04704007279009861
1998-09,0.04704007279009861
1998-10,0.023070168782758714
1998-11,0.023070168782758714
1998-12,0.023070168782758714
1999-01,0.024005161447661672
1999-02,0.024005161447661672
1999-03,0.024005161447661672
1999-04,0.022726844981915257
1999-05,0.022726844981915257
1999-06,0.022726844981915257
1999-07,0.0274004423074777
1999-08,0.0274004423074777
1999-09,0.0274004423074777
1999-10,0.035443568942588315
1999-11,0.035443568942588315
1999-12,0.035443568942588315
2000-01,0.0444036120780188
2000-02,0.0444036120780188
2000-03,0.0444036120780188
2000-04,0.05386303089438022
2000-05,0.05386303089438022
2000-06,0.05386303089438022
2000-07,0.05432073768808089
