Date,Russian_Federation_GDP_Growth
2004-01,0.06664650195120854
2004-02,0.06664650195120854
2004-03,0.06664650195120854
2004-04,0.0752094678777645
2004-05,0.0752094678777645
2004-06,0.0752094678777645
2004-07,0.07337355607965908
2004-08,0.07337355607965908
2004-09,0.07337355607965908
2004-10,0.06593498155562669
2004-11,0.06593498155562669
2004-12,0.06593498155562669
2005-01,0.06456869761557298
2005-02,0.06456869761557298
2005-03,0.06456869761557298
2005-04,0.060339877493333215
2005-05,0.060339877493333215
2005-06,0.060339877493333215
2005-07,0.06292683629815958
2005-08,0.06292683629815958
2005-09,0.06292683629815958
2005-10,0.07285694515845163
2005-11,0.07285694515845163
2005-12,0.07285694515845163
2006-01,0.07478152190598308
2006-02,0.07478152190598308
2006-03,0.07478152190598308
2006-04,0.07904591551909619
2006-05,0.07904591551909619
2006-06,0.07904591551909619
2006-07,0.08470743409564137
2006-08,0.08470743409564137
2006-09,0.08470743409564137
2006-10,0.08296872661792415
2006-11,0.08296872661792415
2006-12,0.08296872661792415
2007-01,0.08172613325684525
2007-02,0.08172613325684525
2007-03,0.08172613325684525
2007-04,0.08808004500034905
2007-05,0.08808004500034905
2007-06,0.08808004500034905
2007-07,0.08711191850690057
2007-08,0.08711191850690057
2007-09,0.08711191850690057
2007-10,0.10092326759221752
2007-11,0.10092326759221752
2007-12,0.10092326759221752
2008-01,0.11000110779208876
2008-02,0.11000110779208876
2008-03,0.11000110779208876
2008-04,0.08940647736663482
2008-05,0.08940647736663482
2008-06,0.08940647736663482
2008-07,0.05001309011845398
2008-08,0.05001309011845398
2008-09,0.05001309011845398
2008-10,-0.015576394358278099
2008-11,-0.015576394358278099
2008-12,-0.015576394358278099
2009-01,-0.07484284306298794
2009-02,-0.07484284306298794
2009-03,-0.07484284306298794
2009-04,-0.09397149185368173
2009-05,-0.09397149185368173
2009-06,-0.09397149185368173
2009-07,-0.07648639600986186
2009-08,-0.07648639600986186
2009-09,-0.07648639600986186
2009-10,-0.03511662549690034
2009-11,-0.03511662549690034
2009-12,-0.03511662549690034
2010-01,0.02154680914522861
2010-02,0.02154680914522861
2010-03,0.02154680914522861
2010-04,0.04651978650221125
2010-05,0.04651978650221125
2010-06,0.04651978650221125
2010-07,0.04769843302519127
2010-08,0.04769843302519127
2010-09,0.04769843302519127
2010-10,0.04951509545589599
2010-11,0.04951509545589599
2010-12,0.04951509545589599
2011-01,0.039411241668293316
2011-02,0.039411241668293316
2011-03,0.039411241668293316
2011-04,0.039386446002794895
2011-05,0.039386446002794895
2011-06,0.039386446002794895
2011-07,0.045877983281463225
2011-08,0.045877983281463225
2011-09,0.045877983281463225
2011-10,0.04536879691018085
2011-11,0.04536879691018085
2011-12,0.04536879691018085
2012-01,0.04965896081043866
2012-02,0.04965896081043866
2012-03,0.04965896081043866
2012-04,0.04382963551158579
2012-05,0.04382963551158579
2012-06,0.04382963551158579
2012-07,0.03727481069290955
2012-08,0.03727481069290955
2012-09,0.03727481069290955
2012-10,0.025587925011694903
2012-11,0.025587925011694903
2012-12,0.025587925011694903
2013-01,0.017210856764629603
2013-02,0.017210856764629603
