Date,equity_index_germany,equity_index_italy,equity_index_indonesia,equity_index_south_africa,equity_index_brazil,equity_index_canada,equity_index_mexico,equity_index_australia,equity_index_us,equity_index_argentina,equity_index_turkey,equity_index_china,equity_index_japan,equity_index_france,equity_index_russia,equity_index_uk,equity_index_south_korea,equity_index_india,equity_index_saudi_arabia,currency_saudi_arabia,currency_south_korea,currency_brazil,currency_russia,currency_japan,currency_uk,currency_canada,currency_south_africa,currency_eurozone,currency_australia,currency_mexico,currency_india,currency_china,currency_argentina,currency_indonesia,currency_turkey,commodity_natural_gas,commodity_lead,commodity_wti_crude_oil,commodity_zinc,commodity_gold,commodity_platinum,commodity_uls_diesel,commodity_silver,commodity_lean_hogs,commodity_soybean_meal,commodity_copper,commodity_unleaded_gas,commodity_orange_juice,commodity_live_cattle,commodity_kansas_wheat,commodity_soybean_oil,commodity_nickel,commodity_cotton,commodity_brent_crude,commodity_soybeans,commodity_aluminum,commodity_coffee,commodity_tin,commodity_gas_oil,commodity_wheat,commodity_sugar,commodity_corn,commodity_cocoa,commodity_feeder_cattle,government_bond_france,government_bond_mexico,government_bond_australia,government_bond_italy,government_bond_us,government_bond_canada,government_bond_china,government_bond_germany,government_bond_uk,government_bond_japan
1961-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5297643228947598,,2.4602409199651274,,0.5622810757539775,,,,,-0.35976353048168136,,-0.3321920555025621,-0.016493232011170377,,,,,,,,,,,
1963-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20476548713125325,,3.392300687164117,,0.28455357307721174,,,,,-0.29560220304848905,,0.16272256471290933,0.05466768524483349,,,,,,,,,,,
1963-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24377660969445294,,2.9844866380545034,,0.22016575432534347,,,,,-0.6349516589652493,,-0.36021899967433463,-0.04020710965064663,,,,,,,,,,,
1963-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22937116644919717,,2.361485588033051,,0.21025174353244613,,,,,-0.8383608149239561,,-0.12272327932281127,0.25060403283056837,,,,,,,,,,,
1963-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03016633204368964,,1.472006795943004,,0.1668854459797669,,,,,-0.8900983209852537,,0.15908486794892449,0.2403363957415009,,,,,,,,,,,
1963-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06488202353458546,,2.3968927181791684,,0.14648016429846342,,,,,-0.3950130920936975,,0.2851451769950558,-0.005234002499317183,,,,,,,,,,,
1963-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003458316001780752,,2.014216045648777,,0.16476360501386492,,,,,-0.6773209352746277,,0.4072532492911653,-0.00803277407974041,,,,,,,,,,,
1963-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008749367110903098,,2.4894852636962703,,0.10073241508592096,,,,,-0.2579659058337044,,0.3868685456634704,0.017968927630267178,,,,,,,,,,,
1963-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0422728429611846,,1.8358629193042326,,0.11030276407730223,,,,,0.22862273758746787,,0.35808307863817074,0.023757499346001697,,,,,,,,,,,
1963-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04665018883934097,,1.8517537432823306,,0.11957699867676348,,,,,0.23652734929820654,,0.3179976160973974,0.08181440010890088,,,,,,,,,,,
1963-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0322907803231652,,2.070621889251737,,0.08138914499829093,,,,,0.2797847931622189,,0.35825952188827825,0.031171056680866966,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028360784553691603,,1.9444887130619843,,0.11358523334971787,,,,,0.3148926698812635,,0.32512939534483387,0.05758112318795475,,,,,,,,,,,
1964-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07554493740735907,,2.027942782472757,,0.014914475884407733,,,,,0.245349309635238,0.07323194141337422,0.2764166435839942,-0.050888325976227465,,,,,,,,,,,
1964-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12388688142013546,,2.1858629393744216,,0.025613801437426784,,,,,0.24884798689876203,0.05709844372101479,0.20589612880229854,-0.05751804793852087,,,,,,,,,,,
1964-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1524190018512957,,1.722055644798395,,0.04843103035383307,,,,,0.2703694662725728,0.04948103867378238,0.3567593648265278,-0.06360425699552602,,,,,,,,,,,
1964-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10979488016325985,,1.7291785307332301,,0.012927237724169772,,,,,0.19726468018640364,0.01901247286266957,0.3741977627153722,-0.11211116813710438,,,,,,,,,,,
1964-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10143784579038828,,1.7617669634810775,,-0.0039544643424838525,,,,,0.2212450337141901,-0.020562661653246956,0.23346239982868375,-0.1058677936884444,,,,,,,,,,,
1964-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13855989169196214,,1.9150805103070496,,-0.06062855331247199,,,,,0.11186837505757903,-0.016633478362445595,0.18273414639561725,-0.06117851956023594,,,,,,,,,,,
1964-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0737404829086027,,1.9923482193348108,,-0.050896185606732716,,,,,0.1523947328262784,-0.008563100143971464,0.19228521853523878,-0.058578461607022216,,,,,,,,,,,
1964-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02285131953902275,,1.8719367447019732,,0.07787805559165246,,,,,0.20127578520343173,-0.016308602124523324,0.24540597486384647,-0.06020570609582592,,,,,,,,,,,
1964-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04837173322009927,,0.06258940540707741,,0.15628805053957165,,,,,-0.2515600814518208,-0.11427240058417425,0.2653334308785451,-0.1739035315806626,,,,,,,,,,,
1964-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007984720513374781,,1.710892797597035,,-0.005100588861954315,,,,,-0.09435627028254177,-0.04639194928927176,0.09470831928230729,-0.10256547685666056,,,,,,,,,,,
1964-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15252182347401189,,1.5893034154157735,,0.1857229868599204,,,,,-0.09964599837905155,-0.045354760729543045,0.20083041617516625,-0.09910539310524172,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10420771023285653,,1.6163976515345435,,0.06782754305673239,,,,,-0.16393518550747935,-0.046853860017491616,0.17602129778745093,-0.13074247155724072,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15987565379386176,,1.4591905178540572,,0.22212739353569183,,,,,-0.12282647619126663,-0.04513983623547593,0.18569651436542348,-0.09127234989232155,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23557866496037952,,0.026418571918750997,,0.323277109975698,,,,,-0.13340029053187358,-0.05476220546725671,0.38423268777851166,-0.1766063548915351,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20462158183248774,,0.038830201555497615,,0.2911051860030088,,,,,-0.12257510196174345,-0.047345605662511704,0.48527939580191504,-0.19248214455375096,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14086570718048652,,1.4250835952552903,,0.1912899450103348,,,,,-0.12054437499306368,-0.0420077009703428,0.3014533053375069,-0.12905430259979578,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12487044985505877,,0.9408975290370337,,0.20938189540062385,,,,,-0.11320051289252553,-0.047455543145070715,0.3619421139666753,-0.1970920593795849,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1586171503215731,,0.5120453874547451,,0.2477889713846344,,,,,0.0005512642569133369,-0.04951824545304569,0.3923883779716243,-0.22458941489602396,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1413349816923588,,-0.09778448834308529,,0.3081680791068187,,,,,0.10602010193769747,-0.048285476330762314,0.47569781717358783,-0.22166312091931303,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19054141693993987,,0.02408062202932501,,0.22805045186967376,,,,,0.23316399686268913,-0.06105276293129654,0.16484752106037034,-0.223645989233565,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16528230051492768,,-0.2042556822264133,,0.18263416175619554,,,,,0.4099347995765591,-0.06064866503483973,0.09214032852101929,-0.23458999781810344,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14148808607287477,,4.0063637823170354e-21,,0.1796786033646228,,,,,0.40700144759142237,-0.0726306037523195,0.05445023436938927,-0.21050408246263325,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1671444183716552,,-2.897595263172751e-18,,0.14316052052031805,,,,,0.5035764375852355,-0.10037791708666881,0.05151413663708703,-0.1493624176705802,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18672127806920694,,-1.5950462073390308e-17,,0.2010885335633677,,,,,0.562353059493205,-0.05040643326366899,0.2596177478482357,-0.053238168934324336,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17942501395357596,,-1.0661270453277803e-17,,0.19943949086224086,,,,,0.4292083596198517,-0.037600382198071124,0.44376401605595706,-0.06862033109726931,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1973155637582484,,-2.1684108170357562e-17,,0.21358059925842857,,,,,0.44394654188423577,-0.05839815307994911,0.11723050789739567,0.09668130078248144,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18809248041851892,,-0.0,,0.23852318088474703,,,,,0.29879482428207754,-0.05831333847899818,-0.09569068806427097,0.1539737949986647,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1779119233280654,,-1.0117579412892985e-16,,0.3170750685765524,,,,,0.2880115553425601,-0.03923548728306806,-0.012539362854876609,0.10784203052551561,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16846642256437114,,-0.26542523618323605,,0.22573264632069062,,,,,0.2606650274904369,-0.0323127493337576,0.04161752113897919,0.13747825087145152,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14393795826158287,,-0.2563646781190527,,0.19430544503383215,,,,,0.24731456815516664,-0.02618656493588113,0.2049491694254007,0.13951065430660128,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14230968442617967,,-0.06803765772084043,,0.1845646333331415,,,,,0.24494406072214137,-0.023804044336742308,0.34083882327508536,0.12596667053041655,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13918356906035523,,-0.20909464569313863,,0.1827264674972093,,,,,0.20124261814162195,-0.021575656159317166,0.3804551936133093,0.09769298408563273,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13670336901076396,,-0.4557779525215789,,0.22134823686474822,,,,,0.14110545692849882,-0.054051068345339626,0.50353129794949,0.07305485723913781,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12097467023857912,,-0.5933458831719184,,0.25027362810580706,,,,,0.07365419254198423,-0.08349114033553853,0.5160538778250157,0.066796101868023,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08642714027709923,,-0.29563976789446356,,0.2843271712816364,,,,,0.1809187132165532,-0.0912925328473042,0.5448319237896387,0.018006136673778737,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05410311100118508,,0.18986786955271476,,0.3231300626616631,,,,,0.046150336430158735,-0.13774301620195262,0.43796288660951915,0.03168718905349647,,,,,,,,,,,
1967-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0340771577183051,,0.07027016882277981,,0.3798276367114442,,,,,-0.13245645766204456,-0.17376954724122465,0.38180995059228384,0.15018629217153573,,,,,,,,,,,
1967-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012644801477015516,,0.19608313384743858,,0.3465439306955938,,,,,0.11532689467888514,-0.09052446549189228,0.5358090170641957,0.05805197622980976,,,,,,,,,,,
1967-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010153102350490663,,0.48705029817340295,,0.20009108138966453,,,,,0.1117824276004858,-0.055216819955037764,0.26754756916871836,0.03114075223500475,,,,,,,,,,,
1967-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0984745809144546,,0.7086822055216856,,0.17422678413995796,,,,,-0.01889028498659953,-0.008856916572865092,-0.006743871936532735,0.010895024639194657,,,,,,,,,,,
1967-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027252756895927273,,0.7130570635763643,,0.12470343722669229,,,,,-0.090924983106392,0.03951732594687115,0.06545483456683936,0.03799376819349508,,,,,,,,,,,
1967-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09173906307212856,,0.5455643000621813,,-0.08082074759260678,,,,,-0.24813706475441197,-0.009649820692278814,-0.23905652684880166,-0.001534793262102729,,,,,,,,,,,
1967-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10146247457570248,,0.43984858238043545,,-0.09281597065740493,,,,,-0.19790435921873253,-0.01583175399253678,-0.3053436701041357,-0.020350307058365536,,,,,,,,,,,
1967-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10029810379999861,,0.4080352396496593,,-0.08983477329124173,,,,,-0.21704895689034562,-0.016663442606157222,-0.3576581519885705,0.032962369955017105,,,,,,,,,,,
1967-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09984560071583486,,0.44330556752907635,,-0.06258113859946941,,,,,-0.16482645223498307,0.0010082807589674708,-0.394797545253195,0.028997763361982953,,,,,,,,,,,
1967-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10881093931687559,,0.4304742824940441,,-0.03231553966342537,,,,,-0.15100612994029902,0.02194749370663633,-0.37251573402639626,0.05905004199283253,,,,,,,,,,,
1967-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11426072735716615,,0.3819684027408468,,-0.05245287385654849,,,,,-0.20073921217291404,0.009988670985501113,-0.37148549828324817,0.03412011658490152,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12315629187575639,,0.37819447346145973,,-0.03853635977461685,,,,,-0.19698327779554062,0.0,-0.3718323037325842,0.011555455976824934,,,,,,,,,,,
1968-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.421846197375011e-19,,-0.10823120301780205,,0.43091268199276417,,-0.02078943167689539,,,,,-0.14567944916203499,0.016343152589461177,-0.37187770148080485,-0.0038229373894545925,,,,,,,,,,,
1968-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99665579533413e-18,,-0.09456578191649659,,0.38230258764761155,,-0.022770956415663783,,,,,-0.200234014243114,-0.010021156264491298,-0.3649927038694898,-0.014268847489304648,,,,,,,,,,,
1968-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.759393200648652e-18,,-0.17905151012118065,,0.15027420614780396,,-0.039708741547255615,,,,,-0.24834167758723552,-0.024292428663419487,-0.4335445419901082,0.0010768876796613514,,,,,,,,,,,
1968-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.16525522136288281,,0.2204689214426631,,-0.026676867081437267,,,,,-0.2502671662842485,-0.05338143874959829,-0.35295678880365683,0.012252398598759566,,,,,,,,,,,
1968-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1871533492198539,,-0.18007431808009167,,0.14008998412032161,,-0.07150359892797785,,,,,-0.20606473321457558,-0.06351583463678034,-0.3303491471693709,-0.004305727470287634,,,,,,,,,,,
1968-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43070464026002836,,-0.17923299876528145,,0.13534161102577985,,-0.04653919876085321,,,,,-0.19162322978563956,-0.048626139682358814,-0.3193175293622934,-0.005918138625765867,,,,,,,,,,,
1968-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44563059528265697,,-0.18874018338054818,,0.09924479801742862,,-0.040961306756544975,,,,,-0.21027705671921787,-0.046191346195877836,-0.31862730666037475,0.013383803631653979,,,,,,,,,,,
1968-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.23186512880403357,,-0.018327437219509347,,-0.03739095878463582,,,,,-0.256989875610526,-0.04279534035920708,-0.3329908855753465,0.033187073394958834,,,,,,,,,,,
1968-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49749638808895574,,-0.18645080613764195,,-0.11411210439743005,,-0.03891999442148381,,,,,-0.21532113610722625,-0.05768123255310715,-0.19862143906830815,0.08847212675693898,,,,,,,,,,,
1968-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6153585404314926,,-0.11581743963278517,,-0.21646401181301678,,-0.003941177700601469,,,,,-0.17029819529913395,-0.03482112233996298,-0.09651053401025701,0.15719862149175448,,,,,,,,,,,
