Date,MXIN
1993-01,0.0118
1993-02,0.013600000000000001
1993-03,-0.2236
1993-04,-0.0745
1993-05,0.0512
1993-06,0.0203
1993-07,0.0576
1993-08,0.1277
1993-09,0.04650000000000001
1993-10,-0.0196
1993-11,0.2141
1993-12,0.059500000000000004
1994-01,0.1697
1994-02,0.0663
1994-03,-0.111
1994-04,-0.0219
1994-05,0.013300000000000001
1994-06,0.0508
1994-07,0.0288
1994-08,0.0809
1994-09,-0.0559
1994-10,-0.0149
1994-11,-0.032799999999999996
1994-12,-0.0516
1995-01,-0.061500000000000006
1995-02,-0.0528
1995-03,-0.038
1995-04,-0.0493
1995-05,0.0434
1995-06,-0.0355
1995-07,0.043
1995-08,-0.036000000000000004
1995-09,-0.0287
1995-10,-0.0308
1995-11,-0.14150000000000001
1995-12,0.0417
1996-01,-0.09480000000000001
1996-02,0.2186
1996-03,0.010700000000000001
1996-04,0.1334
1996-05,-0.0401
1996-06,0.043
1996-07,-0.0868
1996-08,-0.0195
1996-09,-0.08449999999999999
1996-10,-0.0199
1996-11,-0.0872
1996-12,0.055999999999999994
1997-01,0.09
1997-02,0.0698
1997-03,-0.0808
1997-04,0.1298
1997-05,-0.0143
1997-06,0.1567
1997-07,0.0158
1997-08,-0.1112
1997-09,0.022000000000000002
1997-10,-0.030899999999999997
1997-11,-0.1168
1997-12,0.024399999999999998
1998-01,-0.10099999999999999
1998-02,0.1026
1998-03,0.07139999999999999
1998-04,0.0246
1998-05,-0.1173
1998-06,-0.1252
1998-07,-0.0098
1998-08,-0.08199999999999999
1998-09,0.0471
1998-10,-0.07719999999999999
1998-11,-0.015700000000000002
1998-12,0.0833
1999-01,0.11960000000000001
1999-02,-0.0298
1999-03,0.1637
1999-04,-0.126
1999-05,0.1931
1999-06,0.037000000000000005
1999-07,0.1112
1999-08,0.0919
1999-09,-0.0002
1999-10,-0.0709
1999-11,0.0634
1999-12,0.1435
2000-01,0.1076
2000-02,0.1838
2000-03,-0.1002
2000-04,-0.1565
2000-05,-0.1185
2000-06,0.10099999999999999
2000-07,-0.10869999999999999
2000-08,0.044199999999999996
2000-09,-0.10769999999999999
2000-10,-0.08289999999999999
2000-11,0.0681
2000-12,-0.005
2001-01,0.08779999999999999
2001-02,-0.0362
2001-03,-0.17600000000000002
2001-04,-0.0212
2001-05,0.0412
2001-06,-0.0528
2001-07,-0.0318
2001-08,-0.0152
2001-09,-0.1398
2001-10,0.0674
2001-11,0.10220000000000001
2001-12,0.0009
2002-01,0.0179
2002-02,0.06269999999999999
2002-03,-0.0102
2002-04,-0.04
2002-05,-0.0633
2002-06,0.0305
2002-07,-0.0706
2002-08,0.062
2002-09,-0.0484
2002-10,-0.0011
2002-11,0.1051
2002-12,0.0529
2003-01,-0.0405
2003-02,0.0137
2003-03,-0.07440000000000001
2003-04,-0.0433
2003-05,0.0799
2003-06,0.1438
2003-07,0.0689
2003-08,0.1291
2003-09,0.0576
2003-10,0.106
2003-11,0.0233
2003-12,0.1612
