Date,Kansas Wheat
1991-02,0.0092
1991-03,0.057
1991-04,-0.0241
1991-05,0.01
1991-06,-0.034
1991-07,0.0579
1991-08,0.0466
1991-09,0.06309999999999999
1991-10,0.09699999999999999
1991-11,0.0084
1991-12,0.0955
1992-01,0.0949
1992-02,-0.044000000000000004
1992-03,-0.0512
1992-04,-0.043899999999999995
1992-05,0.0165
1992-06,-0.0123
1992-07,-0.11220000000000001
1992-08,0.0102
1992-09,0.0557
1992-10,-0.006500000000000001
1992-11,0.06269999999999999
1992-12,-0.0287
1993-01,0.0414
1993-02,-0.0579
1993-03,0.034
1993-04,-0.0191
1993-05,-0.0195
1993-06,-0.0351
1993-07,0.07769999999999999
1993-08,0.0143
1993-09,0.0288
1993-10,0.042699999999999995
1993-11,0.0986
1993-12,0.0894
1994-01,-0.061200000000000004
1994-02,-0.0392
1994-03,-0.0278
1994-04,0.0336
1994-05,0.0029
1994-06,-0.008199999999999999
1994-07,0.0392
1994-08,0.1038
1994-09,0.0779
1994-10,-0.0373
1994-11,-0.0154
1994-12,0.041299999999999996
1995-01,-0.055999999999999994
1995-02,-0.0286
1995-03,0.0043
1995-04,0.023
1995-05,0.09390000000000001
1995-06,0.2407
1995-07,0.0127
1995-08,0.0037
1995-09,0.0717
1995-10,0.0273
1995-11,-0.0236
1995-12,0.0363
1996-01,0.0353
1996-02,0.0414
1996-03,0.0236
1996-04,0.248
1996-05,-0.0481
1996-06,-0.0908
1996-07,-0.098
1996-08,-0.009399999999999999
1996-09,-0.0524
1996-10,-0.0809
1996-11,0.0533
1996-12,0.0038
1997-01,0.024700000000000003
1997-02,0.0931
1997-03,0.060899999999999996
1997-04,0.1549
1997-05,-0.1433
1997-06,-0.13
1997-07,0.1032
1997-08,0.0426
1997-09,-0.08220000000000001
1997-10,0.0242
1997-11,-0.0359
1997-12,-0.08710000000000001
1998-01,0.0461
1998-02,-0.0098
1998-03,-0.043899999999999995
1998-04,-0.0604
1998-05,-0.029500000000000002
1998-06,-0.0301
1998-07,-0.099
1998-08,-0.0398
1998-09,0.0922
1998-10,0.08529999999999999
1998-11,-0.0355
1998-12,-0.0353
1999-01,-0.0092
1999-02,-0.1223
1999-03,0.10439999999999999
1999-04,-0.0967
1999-05,-0.0192
1999-06,-0.0087
1999-07,-0.0005
1999-08,0.0088
1999-09,-0.0242
1999-10,-0.054900000000000004
1999-11,-0.049800000000000004
1999-12,0.0017000000000000001
2000-01,0.0311
2000-02,-0.0163
2000-03,-0.0003
2000-04,-0.052000000000000005
2000-05,0.0857
2000-06,-0.0129
2000-07,-0.084
2000-08,0.0375
2000-09,0.0415
2000-10,-0.0401
2000-11,0.0131
2000-12,0.025
2001-01,-0.030899999999999997
2001-02,-0.0219
2001-03,-0.0587
2001-04,0.0929
2001-05,-0.044800000000000006
2001-06,-0.0909
2001-07,0.016399999999999998
2001-08,-0.0282
