Date,Soybeans
1960-02,-0.0139
1960-03,0.0195
1960-04,-0.0146
1960-05,0.0018
1960-06,-0.011399999999999999
1960-07,0.0355
1960-08,-0.002
1960-09,-0.010700000000000001
1960-10,0.030600000000000002
1960-11,-0.0296
1960-12,0.0658
1961-01,0.1065
1961-02,0.19899999999999998
1961-03,-0.04019999999999999
1961-04,0.0821
1961-05,-0.0889
1961-06,-0.0653
1961-07,-0.0111
1961-08,-0.0172
1961-09,-0.0204
1961-10,0.016200000000000003
1961-11,-0.001
1961-12,0.0034999999999999996
1962-01,-0.0046
1962-02,-0.0131
1962-03,0.0141
1962-04,0.0059
1962-05,0.0008
1962-06,-0.0026
1962-07,-0.0134
1962-08,0.0144
1962-09,0.014499999999999999
1962-10,0.0169
1962-11,0.01
1962-12,0.006500000000000001
1963-01,0.07629999999999999
1963-02,-0.0118
1963-03,-0.031400000000000004
1963-04,0.0076
1963-05,0.0001
1963-06,0.0432
1963-07,-0.02
1963-08,-0.0021
1963-09,0.0755
1963-10,0.038900000000000004
1963-11,-0.056299999999999996
1963-12,0.0434
1964-01,-0.0554
1964-02,-0.0126
1964-03,-0.0195
1964-04,-0.0169
1964-05,-0.011200000000000002
1964-06,0.0163
1964-07,-0.016
1964-08,0.0653
1964-09,0.058600000000000006
1964-10,0.0097
1964-11,0.0683
1964-12,-0.026099999999999998
1965-01,0.0779
1965-02,-0.0034999999999999996
1965-03,-0.0118
1965-04,-0.0425
1965-05,-0.0259
1965-06,0.0406
1965-07,0.0178
1965-08,-0.021400000000000002
1965-09,0.0084
1965-10,0.0032
1965-11,0.0311
1965-12,0.029500000000000002
1966-01,0.0687
1966-02,-0.0129
1966-03,0.0098
1966-04,0.08789999999999999
1966-05,0.027200000000000002
1966-06,0.1012
1966-07,0.022400000000000003
1966-08,0.003
1966-09,-0.0564
1966-10,-0.018500000000000003
1966-11,0.0177
1966-12,-0.0087
1967-01,0.0004
1967-02,0.0012
1967-03,-0.0019
1967-04,-0.0108
1967-05,0.018500000000000003
1967-06,-0.0271
1967-07,-0.0115
1967-08,0.0051
1967-09,-0.0179
1967-10,0.0077
1967-11,-0.0007000000000000001
1967-12,0.0085
1968-01,0.0163
1968-02,-0.0012
1968-03,-0.0072
1968-04,-0.0037
1968-05,-0.006999999999999999
1968-06,-0.0125
1968-07,-0.0083
1968-08,0.0087
1968-09,-0.0217
1968-10,0.0277
1968-11,0.0138
1968-12,0.0072
1969-01,0.0078000000000000005
1969-02,-0.0001
1969-03,-0.0098
1969-04,0.0183
1969-05,-0.0058
1969-06,-0.0008
1969-07,0.0066
1969-08,0.0111
1969-09,0.0064
1969-10,0.0375
1969-11,-0.0175
1969-12,0.016200000000000003
1970-01,0.015700000000000002
1970-02,0.0216
1970-03,0.0046
1970-04,0.0235
1970-05,0.0144
1970-06,0.12240000000000001
1970-07,-0.0134
1970-08,-0.016399999999999998
1970-09,0.029500000000000002
1970-10,0.0632
1970-11,-0.024700000000000003
1970-12,-0.0141
1971-01,0.035699999999999996
1971-02,-0.0074
1971-03,-0.020499999999999997
1971-04,-0.0246
1971-05,0.0545
1971-06,0.0663
1971-07,0.0092
1971-08,-0.018000000000000002
1971-09,-0.0128
1971-10,0.0379
1971-11,-0.0358
1971-12,0.008100000000000001
1972-01,-0.0044
1972-02,0.0516
1972-03,0.0286
1972-04,0.0102
1972-05,0.0016
1972-06,0.0046
1972-07,-0.0189
1972-08,0.0664
1972-09,0.037599999999999995
1972-10,0.0116
1972-11,0.0729
1972-12,0.12390000000000001
1973-01,0.1545
1973-02,0.30210000000000004
1973-03,-0.1081
1973-04,0.3414
1973-05,0.5682
1973-06,-0.0276
1973-07,0.3789
1973-08,-0.1313
1973-09,-0.0737
1973-10,-0.1594
1973-11,0.1241
1973-12,-0.030699999999999998
1974-01,0.10550000000000001
1974-02,-0.030600000000000002
1974-03,-0.008
1974-04,-0.098
1974-05,0.0028000000000000004
1974-06,0.0709
1974-07,0.569
1974-08,-0.16699999999999998
1974-09,0.20670000000000002
1974-10,-0.0706
1974-11,-0.0433
1974-12,-0.1005
1975-01,-0.1506
1975-02,-0.1691
1975-03,0.2097
1975-04,-0.1201
1975-05,-0.0529
1975-06,0.0268
1975-07,0.1862
1975-08,-0.0239
1975-09,0.0058
1975-10,-0.1307
1975-11,-0.0277
1975-12,-0.0709
1976-01,0.025
1976-02,0.029300000000000003
1976-03,-0.0329
1976-04,0.023700000000000002
1976-05,0.19140000000000001
1976-06,0.1723
1976-07,-0.0919
1976-08,0.08539999999999999
1976-09,-0.0547
1976-10,0.0735
1976-11,-0.0089
1976-12,0.0545
1977-01,0.0203
1977-02,0.0771
1977-03,0.14679999999999999
1977-04,0.1035
1977-05,-0.0191
1977-06,-0.1474
1977-07,-0.1802
1977-08,-0.0739
1977-09,0.0404
1977-10,0.0406
1977-11,0.0533
1977-12,0.0233
1978-01,-0.0592
1978-02,0.0349
1978-03,0.174
1978-04,0.040999999999999995
1978-05,0.0553
1978-06,-0.0694
1978-07,-0.0329
1978-08,0.0634
1978-09,0.022799999999999997
1978-10,0.1015
1978-11,-0.0487
1978-12,0.0077
1979-01,0.0313
1979-02,0.0723
1979-03,0.0149
1979-04,-0.0516
1979-05,0.0139
1979-06,0.0008
1979-07,-0.0278
1979-08,0.021400000000000002
1979-09,-0.0052
1979-10,-0.0765
1979-11,0.0313
1979-12,-0.046900000000000004
1980-01,0.0231
1980-02,-0.045
1980-03,-0.1013
1980-04,0.0245
1980-05,0.021
1980-06,0.0824
1980-07,0.1436
1980-08,0.029300000000000003
1980-09,0.0018
1980-10,0.1193
1980-11,0.0217
1980-12,-0.14679999999999999
1981-01,-0.1026
1981-02,0.024700000000000003
1981-03,0.042199999999999994
1981-04,0.002
1981-05,-0.0329
1981-06,-0.0557
1981-07,0.0478
1981-08,-0.0999
1981-09,-0.022799999999999997
1981-10,0.015300000000000001
1981-11,-0.0276
1981-12,-0.0408
1982-01,0.0591
1982-02,-0.0509
1982-03,0.0233
1982-04,0.032400000000000005
1982-05,-0.0358
1982-06,-0.0277
1982-07,-0.021400000000000002
1982-08,-0.0677
1982-09,-0.038599999999999995
1982-10,0.0045000000000000005
1982-11,0.055999999999999994
1982-12,-0.0111
1983-01,0.061900000000000004
1983-02,-0.0646
1983-03,0.11470000000000001
1983-04,0.0126
1983-05,-0.0688
1983-06,0.009300000000000001
1983-07,0.1642
1983-08,0.2664
1983-09,-0.0426
1983-10,-0.0507
1983-11,-0.0338
1983-12,0.0336
1984-01,-0.1153
1984-02,0.0296
1984-03,0.039599999999999996
1984-04,-0.0123
1984-05,0.09179999999999999
1984-06,-0.0421
1984-07,-0.15439999999999998
1984-08,0.053
1984-09,-0.0626
1984-10,0.057300000000000004
1984-11,-0.0276
1984-12,-0.053399999999999996
1985-01,0.034300000000000004
1985-02,-0.060599999999999994
1985-03,0.0641
1985-04,-0.0239
1985-05,-0.0391
1985-06,-0.0033
1985-07,-0.0406
1985-08,-0.0258
1985-09,0.008199999999999999
1985-10,0.01
1985-11,-0.0484
1985-12,0.07400000000000001
1986-01,-0.011899999999999999
1986-02,-0.0151
1986-03,0.0281
1986-04,0.0274
1986-05,-0.0418
1986-06,-0.0255
1986-07,0.0377
1986-08,-0.037599999999999995
1986-09,0.019299999999999998
1986-10,0.0146
1986-11,0.011200000000000002
1986-12,-0.020499999999999997
1987-01,0.015700000000000002
1987-02,-0.0286
1987-03,0.0331
1987-04,0.0825
1987-05,0.026699999999999998
1987-06,-0.011200000000000002
1987-07,-0.0403
1987-08,-0.0359
1987-09,0.060700000000000004
1987-10,0.0087
1987-11,0.1233
1987-12,0.006500000000000001
1988-01,-0.0038
1988-02,0.044500000000000005
1988-03,0.0219
1988-04,0.0582
1988-05,0.14880000000000002
1988-06,0.21739999999999998
1988-07,-0.18489999999999998
1988-08,0.10880000000000001
1988-09,-0.056900000000000006
1988-10,-0.0382
1988-11,-0.0388
1988-12,0.0771
1989-01,-0.049800000000000004
1989-02,-0.0067
1989-03,-0.0381
1989-04,-0.0202
1989-05,-0.013600000000000001
1989-06,0.036699999999999997
1989-07,-0.1082
1989-08,0.022099999999999998
1989-09,-0.027000000000000003
1989-10,-0.006500000000000001
1989-11,0.025
1989-12,-0.0173
1990-01,-0.0296
1990-02,0.02
1990-03,0.0316
1990-04,0.07200000000000001
1990-05,-0.0572
1990-06,0.048600000000000004
1990-07,-0.0558
1990-08,0.0127
1990-09,0.012
1990-10,-0.028999999999999998
1990-11,-0.026600000000000002
1990-12,-0.0435
1991-01,-0.0084
1991-02,0.0177
1991-03,-0.018000000000000002
1991-04,0.0098
1991-05,-0.0084
1991-06,-0.0919
1991-07,0.1245
1991-08,-0.012199999999999999
1991-09,-0.0014000000000000002
1991-10,-0.04769999999999999
1991-11,-0.0139
1991-12,-0.0089
1992-01,0.030299999999999997
1992-02,0.0223
1992-03,0.0019
1992-04,-0.0229
1992-05,0.0613
1992-06,-0.0131
1992-07,-0.10529999999999999
1992-08,-0.0173
1992-09,0.0021
1992-10,0.0143
1992-11,0.0226
1992-12,0.0139
1993-01,0.002
1993-02,0.0078000000000000005
1993-03,0.017
1993-04,-0.0009
1993-05,0.0315
1993-06,0.09380000000000001
1993-07,0.0475
1993-08,-0.033
1993-09,-0.048499999999999995
1993-10,-0.0088
1993-11,0.0697
1993-12,0.0519
1994-01,-0.032400000000000005
1994-02,-0.0092
1994-03,0.0001
1994-04,-0.0022
1994-05,0.04
1994-06,-0.0616
1994-07,-0.0971
1994-08,0.0183
1994-09,-0.0622
1994-10,0.017
1994-11,0.0216
1994-12,-0.015700000000000002
