Date,Cotton
1960-02,-0.0025
1960-03,0.0027
1960-04,0.0096
1960-05,0.006
1960-06,0.0025
1960-07,0.0051
1960-08,0.0017000000000000001
1960-09,0.0066
1960-10,0.0049
1960-11,0.0014000000000000002
1960-12,0.0025
1961-01,0.0033
1961-02,0.0104
1961-03,0.0029
1961-04,-0.0068000000000000005
1961-05,0.003
1961-06,0.0034999999999999996
1961-07,0.0121
1961-08,0.0038
1961-09,-0.003
1961-10,-0.0042
1961-11,-0.0204
1961-12,-0.013500000000000002
1962-01,-0.001
1962-02,-0.015600000000000001
1962-03,0.011699999999999999
1962-04,-0.0040999999999999995
1962-05,0.006999999999999999
1962-06,-0.0084
1962-07,0.0068000000000000005
1962-08,-0.013300000000000001
1962-09,0.0048
1962-10,-0.0007000000000000001
1962-11,0.008199999999999999
1962-12,0.013600000000000001
1963-01,0.0019
1963-02,0.0034999999999999996
1963-03,0.0023
1963-04,-0.0078000000000000005
1963-05,0.004
1963-06,0.026099999999999998
1963-07,-0.0060999999999999995
1963-08,0.0113
1963-09,0.0075
1963-10,-0.0015
1963-11,0.008
1963-12,0.0064
1964-01,0.018600000000000002
1964-02,0.002
1964-03,-0.0131
1964-04,0.0353
1964-05,0.024900000000000002
1964-06,0.0313
1964-07,0.0143
1964-08,0.003
1964-09,0.0125
1964-10,0.003
1964-11,-0.006
1964-12,-0.013000000000000001
1965-01,0.0085
1965-02,-0.0034000000000000002
1965-03,0.002
1965-04,-0.0013
1965-05,-0.008199999999999999
1965-06,0.011000000000000001
1965-07,-0.0121
1965-08,0.008199999999999999
1965-09,0.0067
1965-10,0.0147
1965-11,-0.0216
1965-12,-0.0339
1966-01,-0.0048
1966-02,-0.0174
1966-03,-0.0365
1966-04,0.0325
1966-05,0.0278
1966-06,0.0076
1966-07,0.010700000000000001
1966-08,-0.011200000000000002
1966-09,-0.0184
1966-10,0.0024
1966-11,0.0141
1966-12,0.011200000000000002
1967-01,-0.0165
1967-02,0.0068000000000000005
1967-03,0.2113
1967-04,-0.0462
1967-05,0.0635
1967-06,0.029300000000000003
1967-07,0.0347
1967-08,0.0898
1967-09,-0.0005
1967-10,0.079
1967-11,0.10640000000000001
1967-12,-0.1005
1968-01,-0.003
1968-02,-0.0554
1968-03,-0.0649
1968-04,0.0063
1968-05,0.0109
1968-06,0.0209
1968-07,0.0072
1968-08,-0.0024
1968-09,-0.0857
1968-10,-0.0183
1968-11,-0.002
1968-12,-0.0129
1969-01,-0.054900000000000004
1969-02,-0.016
1969-03,-0.0271
1969-04,-0.022400000000000003
1969-05,-0.0018
1969-06,-0.0029
1969-07,-0.0072
1969-08,-0.0034000000000000002
1969-09,0.0263
1969-10,0.046
1969-11,-0.0414
1969-12,-0.0213
1970-01,-0.0301
1970-02,0.0004
1970-03,0.0025
1970-04,-0.0275
1970-05,0.0155
1970-06,0.013000000000000001
1970-07,-0.0087
1970-08,0.0209
1970-09,-0.013600000000000001
1970-10,0.0368
1970-11,-0.031400000000000004
1970-12,0.0031
1971-01,0.0070999999999999995
1971-02,0.0181
1971-03,-0.0155
1971-04,0.043
1971-05,0.026000000000000002
1971-06,-0.0594
1971-07,0.06
1971-08,-0.0079
1971-09,0.04769999999999999
1971-10,-0.0066
1971-11,0.015600000000000001
1971-12,0.121
1972-01,-0.0171
1972-02,0.0392
1972-03,0.0942
1972-04,0.041299999999999996
1972-05,-0.0394
1972-06,-0.0519
1972-07,-0.0414
1972-08,-0.038599999999999995
1972-09,0.0175
1972-10,0.0933
1972-11,0.0888
1972-12,0.1052
1973-01,0.0771
1973-02,0.042300000000000004
1973-03,0.078
1973-04,0.2257
1973-05,0.0286
1973-06,0.0935
1973-07,0.141
1973-08,0.38060000000000005
1973-09,0.0177
1973-10,-0.16510000000000002
1973-11,0.1014
1973-12,0.21230000000000002
1974-01,-0.1809
1974-02,-0.0415
1974-03,-0.0368
1974-04,0.0414
1974-05,-0.1675
1974-06,0.063
1974-07,0.0697
1974-08,-0.0851
1974-09,0.0318
1974-10,-0.1363
1974-11,-0.0823
1974-12,-0.0966
1975-01,0.0726
1975-02,0.0042
1975-03,0.0786
1975-04,0.0664
1975-05,-0.045
1975-06,0.0687
1975-07,0.0194
1975-08,0.0803
1975-09,0.0669
1975-10,-0.08199999999999999
1975-11,0.1005
1975-12,0.0404
1976-01,0.0043
1976-02,0.0179
1976-03,-0.08839999999999999
1976-04,0.10830000000000001
1976-05,0.0687
1976-06,0.23370000000000002
1976-07,-0.0886
1976-08,0.003
1976-09,0.06570000000000001
1976-10,0.0601
1976-11,-0.0562
1976-12,-0.0458
1977-01,-0.0166
1977-02,0.052199999999999996
1977-03,0.0294
1977-04,-0.0341
1977-05,-0.09910000000000001
1977-06,-0.0922
1977-07,-0.07150000000000001
1977-08,-0.015600000000000001
1977-09,-0.021400000000000002
1977-10,-0.0339
1977-11,-0.0003
1977-12,0.0426
1978-01,0.0453
1978-02,0.006500000000000001
1978-03,-0.0104
1978-04,0.0273
1978-05,0.0363
1978-06,-0.030600000000000002
1978-07,0.0325
1978-08,0.0363
1978-09,0.0029
1978-10,0.0649
1978-11,0.0014000000000000002
1978-12,-0.053200000000000004
1979-01,-0.0508
1979-02,-0.0152
1979-03,-0.0626
1979-04,0.036000000000000004
1979-05,-0.0143
1979-06,0.0802
1979-07,0.0181
1979-08,0.0425
1979-09,-0.0068000000000000005
1979-10,0.0346
1979-11,0.041100000000000005
1979-12,0.0633
1980-01,0.157
1980-02,0.0327
1980-03,-0.0058
1980-04,-0.0379
1980-05,-0.058600000000000006
1980-06,0.031200000000000002
1980-07,0.1754
1980-08,0.12279999999999999
1980-09,-0.045899999999999996
1980-10,0.0172
1980-11,0.0232
1980-12,0.055099999999999996
1981-01,-0.049
1981-02,0.0143
1981-03,-0.0329
1981-04,-0.0171
1981-05,0.0265
1981-06,-0.042800000000000005
1981-07,0.0002
1981-08,-0.0692
1981-09,-0.0496
1981-10,0.0268
1981-11,-0.0552
1981-12,0.017
1982-01,0.034
1982-02,-0.038
1982-03,0.0269
1982-04,0.0337
1982-05,-0.052000000000000005
1982-06,0.0806
1982-07,-0.0333
1982-08,-0.06280000000000001
1982-09,-0.0154
1982-10,-0.0027
1982-11,-0.0096
1982-12,0.0155
1983-01,0.006999999999999999
1983-02,0.0654
1983-03,0.0654
1983-04,-0.0518
1983-05,0.0623
1983-06,0.0184
1983-07,0.0192
1983-08,0.0344
1983-09,-0.049699999999999994
1983-10,0.0464
1983-11,-0.016399999999999998
1983-12,-0.024900000000000002
1984-01,0.0124
1984-02,0.0159
1984-03,0.055099999999999996
1984-04,0.0227
1984-05,0.0383
1984-06,-0.06709999999999999
1984-07,-0.0591
1984-08,-0.012199999999999999
1984-09,-0.0104
1984-10,0.045899999999999996
1984-11,-0.0355
1984-12,0.0108
1985-01,-0.0197
1985-02,-0.0141
1985-03,0.060700000000000004
1985-04,-0.01
1985-05,-0.0359
1985-06,0.0078000000000000005
1985-07,-0.0202
1985-08,-0.0189
1985-09,0.015
1985-10,0.0538
1985-11,-0.0321
1985-12,0.037000000000000005
1986-01,-0.0225
1986-02,0.0508
1986-03,0.041299999999999996
1986-04,0.0084
1986-05,0.022099999999999998
1986-06,-0.048600000000000004
1986-07,0.0203
1986-08,0.1061
1986-09,0.2751
1986-10,0.008
1986-11,0.1481
1986-12,0.1273
1987-01,-0.0649
1987-02,0.009899999999999999
1987-03,0.0501
1987-04,0.14859999999999998
1987-05,0.1429
1987-06,0.0392
1987-07,0.0797
1987-08,-0.0019
1987-09,-0.0574
1987-10,-0.0669
1987-11,0.0301
1987-12,-0.0362
1988-01,-0.0721
1988-02,-0.0121
1988-03,0.031200000000000002
1988-04,0.0265
1988-05,0.0681
1988-06,-0.0472
1988-07,-0.0783
1988-08,-0.0572
1988-09,0.0024
1988-10,0.08839999999999999
1988-11,0.0124
1988-12,0.042300000000000004
1989-01,0.0297
1989-02,0.011000000000000001
1989-03,0.0315
1989-04,0.0335
1989-05,0.0594
1989-06,0.0288
1989-07,0.0858
1989-08,-0.0175
1989-09,-0.0037
1989-10,0.027999999999999997
1989-11,-0.0745
1989-12,-0.0195
1990-01,-0.0223
1990-02,0.0315
