Date,Wheat
1960-02,-0.0078000000000000005
1960-03,0.0406
1960-04,0.004699999999999999
1960-05,0.0009
1960-06,-0.0062
1960-07,-0.008199999999999999
1960-08,0.009300000000000001
1960-09,0.0178
1960-10,0.0258
1960-11,0.0146
1960-12,0.0159
1961-01,0.024300000000000002
1961-02,-0.0069
1961-03,-0.057699999999999994
1961-04,-0.014199999999999999
1961-05,-0.0125
1961-06,0.0375
1961-07,0.0045000000000000005
1961-08,0.0023
1961-09,0.0086
1961-10,-0.0083
1961-11,0.0095
1961-12,-0.0098
1962-01,-0.019299999999999998
1962-02,-0.009399999999999999
1962-03,0.0189
1962-04,0.0287
1962-05,0.0029
1962-06,-0.0126
1962-07,-0.005
1962-08,-0.020499999999999997
1962-09,-0.0645
1962-10,0.037000000000000005
1962-11,0.0005
1962-12,0.009000000000000001
1963-01,0.0043
1963-02,-0.018600000000000002
1963-03,0.0054
1963-04,0.0129
1963-05,-0.013500000000000002
1963-06,-0.002
1963-07,-0.0348
1963-08,-0.0027
1963-09,0.12710000000000002
1963-10,0.0425
1963-11,0.0079
1963-12,0.0182
1964-01,-0.0038
1964-02,-0.022799999999999997
1964-03,-0.0126
1964-04,-0.0012
1964-05,-0.013000000000000001
1964-06,-0.0471
1964-07,-0.0196
1964-08,0.0199
1964-09,-0.0013
1964-10,0.0276
1964-11,0.0031
1964-12,-0.026699999999999998
1965-01,0.0165
1965-02,-0.0062
1965-03,-0.0138
1965-04,-0.0131
1965-05,0.0048
1965-06,0.0106
1965-07,0.0311
1965-08,0.0556
1965-09,0.0143
1965-10,0.0173
1965-11,-0.0109
1965-12,0.0327
1966-01,-0.0108
1966-02,-0.0192
1966-03,-0.0322
1966-04,0.036699999999999997
1966-05,0.0674
1966-06,0.0904
1966-07,0.0113
1966-08,0.0067
1966-09,-0.08650000000000001
1966-10,-0.0308
1966-11,0.0472
1966-12,-0.0434
1967-01,-0.0814
1967-02,0.0897
1967-03,-0.0005
1967-04,-0.0559
1967-05,0.0208
1967-06,-0.0978
1967-07,-0.0052
1967-08,-0.0524
1967-09,0.026000000000000002
1967-10,-0.0113
1967-11,-0.050199999999999995
1967-12,-0.0101
1968-01,0.0004
1968-02,0.0005
1968-03,-0.0042
1968-04,-0.0862
1968-05,0.0076
1968-06,-0.0757
1968-07,-0.04019999999999999
1968-08,-0.061799999999999994
1968-09,-0.0149
1968-10,0.0756
1968-11,0.009000000000000001
1968-12,0.0147
1969-01,-0.003
1969-02,-0.0329
1969-03,-0.0391
1969-04,0.0433
1969-05,-0.0105
1969-06,-0.0177
1969-07,-0.0254
1969-08,0.0425
1969-09,0.0158
1969-10,0.0089
1969-11,0.0508
1969-12,0.0335
1970-01,-0.0181
1970-02,0.053200000000000004
1970-03,-0.014499999999999999
1970-04,0.0553
1970-05,-0.0493
1970-06,0.0466
1970-07,0.04190000000000001
1970-08,0.0857
1970-09,0.0305
1970-10,0.0416
1970-11,-0.0183
1970-12,-0.0176
1971-01,-0.008199999999999999
1971-02,0.0
1971-03,-0.0209
1971-04,0.0075
1971-05,0.0412
1971-06,-0.0052
1971-07,-0.0524
1971-08,-0.0044
1971-09,-0.015300000000000001
1971-10,0.1027
1971-11,-0.0007000000000000001
1971-12,0.0527
1972-01,0.0123
1972-02,-0.0025
1972-03,0.0209
1972-04,0.0044
1972-05,-0.0077
1972-06,-0.0045000000000000005
1972-07,0.0808
1972-08,0.1941
1972-09,0.1198
1972-10,0.0275
1972-11,0.10800000000000001
1972-12,0.07919999999999999
1973-01,-0.061200000000000004
1973-02,-0.0069
1973-03,-0.0504
1973-04,0.1115
1973-05,0.21100000000000002
1973-06,-0.0444
1973-07,0.3691
1973-08,0.4226
1973-09,-0.0053
1973-10,-0.11630000000000001
1973-11,0.18359999999999999
1973-12,0.16670000000000001
1974-01,0.0408
1974-02,0.06860000000000001
1974-03,-0.2407
1974-04,-0.059699999999999996
1974-05,-0.057999999999999996
1974-06,0.1673
1974-07,0.1482
1974-08,-0.08310000000000001
1974-09,0.1199
1974-10,0.0629
1974-11,-0.052300000000000006
1974-12,-0.0924
1975-01,-0.1664
1975-02,-0.0694
1975-03,0.1174
1975-04,-0.11810000000000001
1975-05,-0.06570000000000001
1975-06,-0.0058
1975-07,0.19820000000000002
1975-08,0.1176
1975-09,0.0177
1975-10,-0.0931
1975-11,-0.1137
1975-12,-0.0501
1976-01,0.0461
1976-02,0.1368
1976-03,-0.1438
1976-04,-0.034
1976-05,0.059000000000000004
1976-06,0.0287
1976-07,-0.08310000000000001
1976-08,-0.0868
1976-09,-0.1045
1976-10,-0.041299999999999996
1976-11,-0.0633
1976-12,0.0499
1977-01,-0.0077
1977-02,-0.021400000000000002
1977-03,-0.0042
1977-04,-0.0512
1977-05,-0.0684
1977-06,-0.0062
1977-07,-0.09960000000000001
1977-08,-0.022400000000000003
1977-09,0.102
1977-10,0.0323
1977-11,0.0301
1977-12,0.0206
1978-01,-0.0392
1978-02,-0.0333
1978-03,0.2089
1978-04,-0.0070999999999999995
1978-05,0.0704
1978-06,-0.046
1978-07,0.0014000000000000002
1978-08,0.0644
1978-09,0.0436
1978-10,0.062400000000000004
1978-11,0.0581
1978-12,-0.06280000000000001
1979-01,0.033
1979-02,0.0692
1979-03,-0.0305
1979-04,0.0766
1979-05,0.0642
1979-06,0.1787
1979-07,-0.0452
1979-08,0.0924
1979-09,-0.0040999999999999995
1979-10,-0.0555
1979-11,0.0451
1979-12,0.0066
1980-01,0.0406
1980-02,-0.0579
1980-03,-0.1309
1980-04,0.0409
1980-05,0.0163
1980-06,0.0496
1980-07,0.0801
1980-08,-0.01
1980-09,0.0653
1980-10,0.060599999999999994
1980-11,-0.0146
1980-12,-0.0601
1981-01,-0.0588
1981-02,-0.0258
1981-03,-0.0403
1981-04,0.024399999999999998
1981-05,-0.0571
1981-06,-0.0801
1981-07,0.058899999999999994
1981-08,-0.0356
1981-09,0.031400000000000004
1981-10,0.0462
1981-11,-0.04650000000000001
1981-12,-0.1008
1982-01,-0.0274
1982-02,-0.0536
1982-03,0.0213
1982-04,-0.0049
1982-05,-0.0529
1982-06,-0.020099999999999996
1982-07,-0.026699999999999998
1982-08,-0.018000000000000002
1982-09,-0.09630000000000001
1982-10,-0.0008
1982-11,0.0493
1982-12,-0.0377
1983-01,0.0458
1983-02,-0.08220000000000001
1983-03,0.1285
1983-04,-0.0216
1983-05,-0.0434
1983-06,0.0161
1983-07,0.0526
1983-08,0.0592
1983-09,-0.08929999999999999
1983-10,-0.0365
1983-11,-0.0279
1983-12,0.029500000000000002
1984-01,-0.0883
1984-02,0.009399999999999999
1984-03,0.138
1984-04,-0.0339
1984-05,0.0507
1984-06,0.0001
1984-07,-0.0189
1984-08,-0.032400000000000005
1984-09,-0.006
1984-10,0.054400000000000004
1984-11,-0.022799999999999997
1984-12,-0.009899999999999999
1985-01,0.0155
1985-02,-0.0106
1985-03,0.0676
1985-04,-0.0012
1985-05,-0.030299999999999997
1985-06,0.02
1985-07,-0.07490000000000001
1985-08,-0.059800000000000006
1985-09,0.0385
1985-10,0.0969
1985-11,0.0275
1985-12,0.0319
1986-01,-0.0407
1986-02,0.0046
1986-03,0.069
1986-04,0.1416
1986-05,-0.1489
1986-06,-0.006999999999999999
1986-07,0.0521
1986-08,0.0102
1986-09,0.020099999999999996
1986-10,0.0868
1986-11,0.050499999999999996
1986-12,-0.0362
1987-01,0.054900000000000004
1987-02,0.018600000000000002
1987-03,0.021099999999999997
1987-04,0.0325
1987-05,0.005600000000000001
1987-06,-0.056600000000000004
1987-07,-0.0027
1987-08,0.042300000000000004
1987-09,0.0141
1987-10,0.030699999999999998
1987-11,0.0332
1987-12,-0.018600000000000002
1988-01,0.0541
1988-02,-0.0084
1988-03,-0.0704
1988-04,0.029900000000000003
1988-05,0.12029999999999999
1988-06,0.1066
1988-07,-0.0637
1988-08,0.1015
1988-09,0.0037
1988-10,0.0088
1988-11,0.0227
1988-12,0.0363
1989-01,0.0086
1989-02,-0.0053
