Date,Natural Gas
1991-02,-0.0075
1991-03,0.0068000000000000005
1991-04,-0.0464
1991-05,-0.0294
1991-06,-0.0919
1991-07,0.0339
1991-08,0.07490000000000001
1991-09,0.07629999999999999
1991-10,-0.0174
1991-11,-0.0528
1991-12,-0.1495
1992-01,-0.0663
1992-02,-0.038
1992-03,0.161
1992-04,0.0342
1992-05,0.17579999999999998
1992-06,-0.0353
1992-07,0.2401
1992-08,0.045599999999999995
1992-09,0.1972
1992-10,-0.0931
1992-11,-0.0712
1992-12,-0.0378
1993-01,0.0044
1993-02,0.1381
1993-03,0.1475
1993-04,0.1536
1993-05,-0.07339999999999999
1993-06,0.013500000000000002
1993-07,-0.0095
1993-08,0.0273
1993-09,-0.0599
1993-10,-0.0424
1993-11,-0.0558
1993-12,-0.111
1994-01,0.3385
1994-02,-0.068
1994-03,-0.0387
1994-04,0.0163
1994-05,-0.0886
1994-06,0.09970000000000001
1994-07,-0.129
1994-08,-0.1895
1994-09,-0.0886
1994-10,0.0006
1994-11,-0.17989999999999998
1994-12,0.0395
1995-01,-0.2147
1995-02,0.07519999999999999
1995-03,0.1259
1995-04,-0.0636
1995-05,0.0231
1995-06,-0.1341
1995-07,0.0329
1995-08,0.0197
1995-09,-0.05
1995-10,0.0019
1995-11,0.0663
1995-12,0.2391
1996-01,0.21660000000000001
1996-02,-0.0355
1996-03,0.11630000000000001
1996-04,-0.0317
1996-05,0.0993
1996-06,0.1463
1996-07,-0.2273
1996-08,-0.12380000000000001
1996-09,0.1036
1996-10,0.1398
1996-11,0.26530000000000004
1996-12,-0.10439999999999999
1997-01,-0.0345
1997-02,-0.1748
1997-03,0.0318
1997-04,0.099
1997-05,0.0202
1997-06,-0.0504
1997-07,0.023700000000000002
1997-08,0.2555
1997-09,0.09699999999999999
1997-10,0.1045
1997-11,-0.2329
1997-12,-0.1167
1998-01,0.016399999999999998
1998-02,0.019
1998-03,0.08310000000000001
1998-04,-0.1125
1998-05,-0.038900000000000004
1998-06,0.1042
1998-07,-0.2568
1998-08,-0.0824
1998-09,0.23420000000000002
1998-10,-0.1304
1998-11,-0.18969999999999998
1998-12,-0.0516
1999-01,-0.0789
1999-02,-0.09300000000000001
1999-03,0.2169
1999-04,0.109
1999-05,0.0429
1999-06,0.0125
1999-07,0.0553
1999-08,0.1105
1999-09,-0.0677
1999-10,0.013600000000000001
1999-11,-0.22399999999999998
1999-12,0.0115
2000-01,0.1489
2000-02,0.0593
2000-03,0.0681
2000-04,0.0653
2000-05,0.3868
2000-06,0.0349
2000-07,-0.1459
2000-08,0.2807
2000-09,0.0767
2000-10,-0.1311
2000-11,0.4617
2000-12,0.5089
2001-01,-0.3475
2001-02,-0.006
2001-03,-0.0454
2001-04,-0.0664
2001-05,-0.1759
2001-06,-0.2148
2001-07,0.0424
2001-08,-0.2492
2001-09,-0.17
2001-10,0.2402
2001-11,-0.2108
2001-12,-0.0784
2002-01,-0.1636
2002-02,0.0645
2002-03,0.3613
2002-04,0.1377
2002-05,-0.1572
2002-06,-0.011000000000000001
2002-07,-0.09609999999999999
2002-08,0.08289999999999999
2002-09,0.14279999999999998
2002-10,-0.0525
2002-11,-0.012199999999999999
2002-12,0.1594
2003-01,0.19579999999999997
2003-02,0.1858
2003-03,-0.16570000000000001
2003-04,0.0652
2003-05,0.1448
2003-06,-0.1407
2003-07,-0.1341
2003-08,0.0075
2003-09,-0.029500000000000002
2003-10,-0.0242
2003-11,-0.0391
2003-12,0.295
2004-01,-0.0992
2004-02,0.0345
2004-03,0.0874
2004-04,-0.020499999999999997
2004-05,0.08349999999999999
2004-06,-0.0524
2004-07,-0.0089
2004-08,-0.1578
2004-09,0.1902
2004-10,0.12380000000000001
2004-11,-0.1864
2004-12,-0.19440000000000002
2005-01,0.0225
2005-02,0.057999999999999996
2005-03,0.1264
2005-04,-0.149
2005-05,-0.0446
2005-06,0.092
2005-07,0.1243
2005-08,0.4054
2005-09,0.19760000000000003
2005-10,-0.14880000000000002
2005-11,-0.001
2005-12,-0.0934
2006-01,-0.17679999999999998
2006-02,-0.2891
2006-03,0.04769999999999999
2006-04,-0.10640000000000001
2006-05,-0.058499999999999996
2006-06,-0.09029999999999999
2006-07,0.29469999999999996
2006-08,-0.1907
2006-09,-0.34759999999999996
2006-10,0.1321
2006-11,0.1104
2006-12,-0.2749
2007-01,0.1844
