Date,Coffee
1973-02,0.2234
1973-03,-0.2631
1973-04,0.019299999999999998
1973-05,0.11
1973-06,-0.0877
1973-07,-0.051399999999999994
1973-08,-0.0229
1973-09,0.0665
1973-10,-0.0346
1973-11,-0.0184
1973-12,0.027000000000000003
1974-01,0.0851
1974-02,-0.0111
1974-03,0.0118
1974-04,-0.056600000000000004
1974-05,0.0072
1974-06,-0.0527
1974-07,-0.016200000000000003
1974-08,-0.10369999999999999
1974-09,-0.0799
1974-10,0.0694
1974-11,0.0793
1974-12,-0.0264
1975-01,-0.0764
1975-02,-0.061500000000000006
1975-03,0.0077
1975-04,-0.07339999999999999
1975-05,0.1103
1975-06,0.019299999999999998
1975-07,0.5292
1975-08,0.0182
1975-09,-0.026699999999999998
1975-10,-0.0046
1975-11,0.0006
1975-12,0.10060000000000001
1976-01,0.09369999999999999
1976-02,0.0337
1976-03,0.1313
1976-04,0.17149999999999999
1976-05,0.1284
1976-06,0.087
1976-07,-0.06849999999999999
1976-08,0.10679999999999999
1976-09,0.1288
1976-10,0.078
1976-11,0.0726
1976-12,0.2047
1977-01,-0.0027
1977-02,0.2075
1977-03,0.1588
1977-04,-0.030699999999999998
1977-05,-0.0916
1977-06,-0.0987
1977-07,-0.055099999999999996
1977-08,-0.1326
1977-09,-0.0786
1977-10,0.1207
1977-11,0.1351
1977-12,0.1331
1978-01,-0.0049
1978-02,-0.056600000000000004
1978-03,0.0634
1978-04,0.0451
1978-05,0.11599999999999999
1978-06,-0.0965
1978-07,-0.1157
1978-08,0.2577
1978-09,-0.004699999999999999
1978-10,0.030299999999999997
1978-11,-0.06
1978-12,-0.0008
1979-01,-0.0302
1979-02,0.0173
1979-03,0.0872
1979-04,0.1377
1979-05,0.006999999999999999
1979-06,0.4146
1979-07,-0.0987
1979-08,0.1232
1979-09,0.038900000000000004
1979-10,0.0036
1979-11,0.055
1979-12,-0.10869999999999999
1980-01,-0.0739
1980-02,0.0929
1980-03,0.0078000000000000005
1980-04,-0.009000000000000001
1980-05,0.0588
1980-06,-0.1104
1980-07,-0.1902
1980-08,-0.09570000000000001
1980-09,-0.0525
1980-10,-0.0021
1980-11,-0.07150000000000001
1980-12,0.0596
1981-01,-0.0231
1981-02,-0.0195
1981-03,0.057999999999999996
1981-04,-0.0078000000000000005
1981-05,-0.0911
1981-06,-0.19579999999999997
1981-07,0.355
1981-08,-0.1419
1981-09,0.3333
1981-10,0.1054
1981-11,-0.0097
1981-12,0.0874
1982-01,0.0781
1982-02,0.0518
1982-03,-0.0814
1982-04,0.0983
1982-05,0.0793
1982-06,0.045700000000000005
1982-07,-0.0401
1982-08,0.0759
1982-09,0.15
1982-10,-0.0317
1982-11,0.011899999999999999
1982-12,-0.0395
1983-01,-0.047400000000000005
1983-02,0.0181
1983-03,0.0332
1983-04,0.0161
1983-05,0.0673
1983-06,-0.042
1983-07,0.014499999999999999
1983-08,0.0379
1983-09,0.0587
1983-10,0.0449
1983-11,0.060599999999999994
1983-12,-0.028900000000000002
1984-01,0.0346
1984-02,0.0637
1984-03,0.053399999999999996
1984-04,0.0141
1984-05,-0.0106
1984-06,0.0054
1984-07,-0.0166
1984-08,0.0885
1984-09,-0.0665
1984-10,0.0294
1984-11,0.018000000000000002
1984-12,0.047599999999999996
1985-01,0.062
1985-02,-0.053099999999999994
1985-03,0.0392
1985-04,0.020099999999999996
1985-05,-0.0042
1985-06,-0.0068000000000000005
1985-07,-0.064
1985-08,0.0233
1985-09,0.0016
1985-10,0.1779
1985-11,0.0443
1985-12,0.44049999999999995
1986-01,-0.1058
1986-02,0.1368
1986-03,0.0036
1986-04,-0.0684
1986-05,-0.18989999999999999
1986-06,-0.113
1986-07,0.0062
1986-08,0.1858
1986-09,-0.0101
1986-10,-0.1334
1986-11,-0.1084
1986-12,-0.0874
1987-01,-0.0897
1987-02,0.0277
1987-03,-0.2225
1987-04,0.1928
1987-05,-0.0044
1987-06,-0.1219
1987-07,-0.0351
1987-08,0.1334
1987-09,-0.0449
1987-10,0.0924
1987-11,0.0277
1987-12,-0.0239
1988-01,0.049400000000000006
1988-02,0.013300000000000001
1988-03,-0.001
1988-04,-0.0264
1988-05,0.014499999999999999
1988-06,-0.0206
1988-07,-0.045899999999999996
1988-08,-0.0173
1988-09,0.0719
1988-10,-0.056799999999999996
1988-11,-0.0026
1988-12,0.2961
1989-01,-0.1613
1989-02,0.0098
1989-03,0.0141
1989-04,0.046900000000000004
1989-05,0.0334
1989-06,-0.1384
1989-07,-0.2638
1989-08,0.0806
1989-09,-0.0542
1989-10,-0.0649
1989-11,0.0172
1989-12,0.0304
1990-01,0.0124
1990-02,0.1573
1990-03,-0.011000000000000001
1990-04,0.0038
1990-05,0.0102
1990-06,-0.1043
1990-07,0.1033
1990-08,0.0603
1990-09,-0.09050000000000001
1990-10,-0.0204
1990-11,-0.0768
1990-12,0.0262
1991-01,-0.058600000000000006
1991-02,0.0944
1991-03,0.0258
1991-04,-0.0747
1991-05,-0.025
