Date,Argentina_Interest_Rate
2002-01,41.81
2002-02,23.64
2002-03,82.46
2002-04,101.6
2002-05,46.87
2002-06,41.83
2002-07,76.08
2002-08,37.96
2002-09,23.51
2002-10,9.05
2002-11,6.18
2002-12,6.63
2003-01,5.29
2003-02,8.32
2003-03,6.63
2003-04,5.27
2003-05,3.56
2003-06,3.13
2003-07,1.95
2003-08,1.23
2003-09,1.57
2003-10,1.38
2003-11,1.5
2003-12,1.67
2004-01,1.38
2004-02,1.26
2004-03,1.28
2004-04,1.22
2004-05,2.84
2004-06,2.5
2004-07,2.5
2004-08,2.5
2004-09,2.5
2004-10,2.5
2004-11,2.5
2004-12,2.5
2005-01,2.75
2005-02,2.75
2005-03,2.75
2005-04,3.25
2005-05,3.75
2005-06,4.25
2005-07,4.25
2005-08,4.25
2005-09,4.25
2005-10,4.5
2005-11,4.5
2005-12,5.0
2006-01,5.0
2006-02,5.0
2006-03,5.0
2006-04,5.0
2006-05,5.5
2006-06,5.75
2006-07,5.75
2006-08,5.75
2006-09,5.75
2006-10,6.0
2006-11,6.25
2006-12,6.25
2007-01,6.5
2007-02,6.75
2007-03,10.4
2007-04,10.31
2007-05,10.33
2007-06,10.25
2007-07,10.31
2007-08,10.5
2007-09,10.37
2007-10,10.7
2007-11,10.65
2007-12,10.75
2008-01,11.0
2008-02,11.3
2008-03,11.07
2008-04,11.52
2008-05,11.8
2008-06,11.84
2008-07,12.2
2008-08,12.2
2008-09,12.26
2008-10,12.48
2008-11,12.5
2008-12,12.05
2009-01,12.5
2009-02,13.4
2009-03,14.0
2009-04,14.35
2009-05,14.55
2009-06,16.25
2009-07,14.59
2009-08,15.89
2009-09,9.75
2009-10,9.5
2009-11,9.5
2009-12,9.5
2010-01,9.5
2010-02,9.5
2010-03,9.5
2010-04,9.5
2010-05,9.5
2010-06,9.5
2010-07,9.5
2010-08,9.5
2010-09,9.5
2010-10,9.5
2010-11,9.5
2010-12,9.5
2011-01,9.5
2011-02,9.5
2011-03,9.5
2011-04,9.5
2011-05,9.5
2011-06,9.5
2011-07,9.5
2011-08,9.5
2011-09,9.5
2011-10,9.5
2011-11,9.5
2011-12,9.5
2012-01,9.5
2012-02,9.5
2012-03,9.5
2012-04,9.5
2012-05,9.5
2012-06,9.5
2012-07,9.5
2012-08,9.5
2012-09,9.5
2012-10,9.5
2012-11,9.5
2012-12,9.5
2013-01,9.5
2013-02,9.5
2013-03,9.5
2013-04,9.5
2013-05,9.5
2013-06,9.5
2013-07,9.5
2013-08,9.5
2013-09,9.5
2013-10,9.5
2013-11,9.5
2013-12,9.5
2014-01,25.52
2014-02,28.71
2014-03,28.63
2014-04,27.8
2014-05,26.73
2014-06,26.8
2014-07,26.78
2014-08,26.86
2014-09,26.86
2014-10,26.86
2014-11,26.86
2014-12,26.86
2015-01,26.56
2015-02,26.33
2015-03,26.22
2015-04,25.97
2015-05,26.04
2015-06,26.04
2015-07,25.92
2015-08,25.82
2015-09,26.04
2015-10,28.93
2015-11,29.04
2015-12,33.0
2016-01,30.75
2016-02,31.15
2016-03,38.0
2016-04,38.0
2016-05,35.25
2016-06,30.75
2016-07,30.25
2016-08,28.25
2016-09,26.75
2016-10,26.75
2016-11,24.75
2016-12,24.75
2017-01,24.75
2017-02,24.75
2017-03,24.75
2017-04,26.25
2017-05,26.25
2017-06,26.25
2017-07,26.25
2017-08,26.25
2017-09,26.25
2017-10,27.75
2017-11,28.75
2017-12,28.75
2018-01,27.25
2018-02,27.25
2018-03,27.25
2018-04,30.25
2018-05,40.0
2018-06,40.0
2018-07,40.0
2018-08,60.0
2018-09,65.0
2018-10,68.05
2018-11,60.75
2018-12,59.25
2019-01,53.69
2019-02,50.13
2019-03,68.16
2019-04,73.93
2019-05,70.73
2019-06,62.69
2019-07,60.4
2019-08,83.26
2019-09,78.37
2019-10,68.0
2019-11,63.0
2019-12,55.0
2020-01,50.0
2020-02,40.0
2020-03,38.0
2020-04,38.0
2020-05,38.0
2020-06,38.0
2020-07,38.0
2020-08,38.0
2020-09,38.0
2020-10,36.0
2020-11,38.0
2020-12,38.0
2021-01,38.0
2021-02,38.0
2021-03,38.0
2021-04,38.0
2021-05,38.0
2021-06,38.0
2021-07,38.0
2021-08,38.0
2021-09,38.0
2021-10,38.0
2021-11,38.0
2021-12,38.0
2022-01,40.0
2022-02,42.5
2022-03,44.5
2022-04,47.0
2022-05,49.0
2022-06,52.0
2022-07,60.0
2022-08,69.5
