Date,Indonesia_CPI_Growth
1969-01,35.56
1969-02,25.25
1969-03,24.51
1969-04,26.04
1969-05,19.8
1969-06,14.42
1969-07,11.01
1969-08,11.61
1969-09,11.61
1969-10,14.41
1969-11,-5.15
1969-12,9.17
1970-01,15.57
1970-02,13.71
1970-03,10.24
1970-04,14.05
1970-05,14.05
1970-06,17.65
1970-07,15.7
1970-08,12.0
1970-09,9.6
1970-10,7.87
1970-11,10.08
1970-12,9.16
1971-01,4.26
1971-02,7.09
1971-03,7.86
1971-04,7.97
1971-05,5.07
1971-06,2.14
1971-07,2.14
1971-08,1.43
1971-09,2.92
1971-10,4.38
1971-11,3.52
1971-12,2.1
1972-01,1.36
1972-02,0.66
1972-03,0.66
1972-04,2.01
1972-05,4.14
1972-06,3.5
1972-07,2.8
1972-08,4.23
1972-09,6.38
1972-10,9.09
1972-11,17.69
1972-12,26.03
1973-01,21.48
1973-02,19.74
1973-03,21.05
1973-04,24.34
1973-05,25.17
1973-06,34.46
1973-07,42.18
1973-08,41.22
1973-09,44.0
1973-10,42.31
1973-11,30.64
1973-12,27.17
1974-01,42.54
1974-02,46.7
1974-03,47.28
1974-04,49.21
1974-05,49.21
1974-06,43.22
1974-07,36.84
1974-08,36.84
1974-09,35.19
1974-10,35.14
1974-11,35.4
1974-12,33.76
1975-01,22.48
1975-02,19.48
1975-03,19.93
1975-04,17.38
1975-05,18.44
1975-06,17.19
1975-07,17.83
1975-08,18.88
1975-09,20.89
1975-10,18.67
1975-11,19.61
1975-12,19.49
1976-01,20.89
1976-02,22.26
1976-03,20.0
1976-04,18.43
1976-05,19.46
1976-06,21.56
1976-07,21.66
1976-08,22.65
1976-09,20.96
1976-10,19.94
1976-11,16.94
1976-12,14.17
1977-01,13.61
1977-02,11.54
1977-03,12.05
1977-04,12.5
1977-05,12.28
1977-06,10.34
1977-07,10.98
1977-08,9.83
1977-09,8.9
1977-10,9.13
1977-11,10.05
1977-12,11.94
1978-01,10.14
1978-02,10.11
1978-03,10.07
1978-04,11.11
1978-05,8.93
1978-06,7.37
1978-07,7.47
1978-08,8.08
1978-09,5.16
1978-10,5.79
1978-11,7.01
1978-12,6.69
1979-01,6.9
1979-02,9.19
1979-03,8.73
1979-04,10.0
1979-05,13.73
1979-06,18.3
1979-07,19.22
1979-08,20.4
1979-09,22.9
1979-10,22.92
1979-11,21.03
1979-12,20.59
1980-01,21.72
1980-02,20.65
1980-03,21.03
1980-04,18.55
1980-05,19.46
1980-06,18.28
1980-07,16.81
1980-08,15.6
1980-09,14.98
1980-10,16.01
1980-11,17.7
1980-12,17.07
1981-01,17.36
1981-02,16.48
1981-03,16.9
1981-04,16.9
1981-05,12.82
1981-06,11.59
1981-07,11.6
1981-08,10.89
1981-09,10.42
1981-10,9.82
1981-11,7.1
1981-12,7.36
1982-01,10.82
1982-02,10.75
1982-03,10.14
1982-04,9.1
1982-05,9.09
1982-06,9.05
1982-07,8.95
1982-08,7.85
1982-09,8.91
1982-10,8.94
1982-11,9.88
1982-12,9.96
1983-01,9.89
1983-02,9.46
1983-03,8.71
1983-04,11.29
1983-05,12.13
1983-06,13.43
1983-07,13.16
1983-08,13.59
1983-09,13.6
1983-10,12.25
1983-11,11.95
1983-12,12.0
1984-01,10.8
1984-02,12.35
1984-03,13.21
1984-04,12.13
1984-05,11.8
1984-06,10.44
1984-07,9.93
1984-08,9.83
1984-09,8.79
1984-10,8.9
1984-11,8.67
1984-12,9.03
1985-01,5.89
1985-02,3.7
1985-03,3.69
1985-04,4.92
1985-05,4.59
1985-06,5.26
1985-07,4.76
1985-08,4.86
1985-09,4.77
1985-10,4.77
1985-11,5.06
1985-12,4.43
1986-01,5.18
1986-02,6.45
1986-03,5.87
1986-04,3.28
1986-05,4.3
1986-06,3.52
1986-07,3.43
1986-08,3.71
1986-09,6.88
1986-10,8.91
1986-11,9.17
1986-12,9.13
1987-01,8.2
1987-02,8.96
1987-03,9.08
1987-04,9.07
1987-05,9.77
1987-06,9.84
1987-07,10.48
1987-08,10.91
1987-09,8.61
1987-10,7.93
1987-11,9.25
1987-12,9.3
1988-01,9.27
1988-02,8.31
1988-03,8.66
1988-04,9.32
1988-05,8.24
1988-06,8.39
1988-07,9.16
1988-08,8.95
1988-09,8.17
1988-10,7.11
1988-11,5.75
1988-12,5.57
1989-01,5.78
1989-02,6.52
1989-03,6.67
1989-04,7.61
1989-05,7.32
1989-06,6.69
1989-07,6.02
1989-08,5.7
1989-09,5.92
1989-10,6.34
1989-11,6.39
1989-12,6.08
1990-01,6.56
1990-02,6.26
1990-03,5.6
1990-04,5.16
1990-05,5.34
1990-06,6.97
1990-07,8.83
1990-08,9.38
1990-09,9.71
1990-10,9.99
1990-11,9.8
1990-12,9.94
1991-01,9.71
1991-02,9.01
1991-03,9.52
1991-04,10.29
1991-05,9.61
1991-06,8.69
1991-07,8.31
1991-08,9.73
1991-09,9.3
1991-10,9.02
1991-11,9.87
1991-12,9.99
1992-01,9.66
1992-02,9.57
1992-03,10.25
1992-04,9.21
