Date,France_CPI_Growth
1965-01,2.33
1965-02,2.33
1965-03,2.51
1965-04,2.6
1965-05,2.79
1965-06,4.26
1965-07,3.05
1965-08,2.58
1965-09,2.39
1965-10,2.29
1965-11,2.47
1965-12,2.84
1966-01,2.64
1966-02,2.73
1966-03,2.63
1966-04,2.81
1966-05,2.89
1966-06,1.16
1966-07,2.42
1966-08,2.79
1966-09,2.78
1966-10,2.78
1966-11,2.86
1966-12,2.76
1967-01,2.84
1967-02,2.75
1967-03,2.83
1967-04,2.56
1967-05,2.37
1967-06,2.46
1967-07,2.36
1967-08,2.62
1967-09,2.71
1967-10,3.05
1967-11,3.56
1967-12,3.38
1968-01,3.97
1968-02,3.97
1968-03,3.78
1968-04,3.95
1968-05,4.12
1968-06,4.46
1968-07,4.53
1968-08,4.69
1968-09,5.01
1968-10,5.58
1968-11,5.12
1968-12,5.28
1969-01,5.39
1969-02,5.64
1969-03,6.05
1969-04,6.28
1969-05,6.43
1969-06,6.4
1969-07,6.55
1969-08,6.27
1969-09,6.15
1969-10,5.68
1969-11,5.83
1969-12,5.89
1970-01,5.59
1970-02,5.58
1970-03,5.41
1970-04,5.45
1970-05,5.38
1970-06,5.48
1970-07,5.2
1970-08,5.38
1970-09,5.24
1970-10,5.02
1970-11,4.95
1970-12,4.95
1971-01,4.7
1971-02,4.89
1971-03,4.97
1971-04,5.05
1971-05,5.33
1971-06,5.31
1971-07,5.6
1971-08,5.58
1971-09,5.65
1971-10,5.83
1971-11,5.81
1971-12,5.99
1972-01,5.66
1972-02,5.73
1972-03,5.8
1972-04,5.58
1972-05,5.44
1972-06,5.61
1972-07,5.97
1972-08,6.13
1972-09,6.29
1972-10,6.63
1972-11,6.88
1972-12,6.94
1973-01,6.65
1973-02,6.34
1973-03,6.4
1973-04,6.74
1973-05,7.16
1973-06,7.39
1973-07,7.42
1973-08,7.56
1973-09,7.86
1973-10,8.06
1973-11,8.36
1973-12,8.48
1974-01,10.3
1974-02,11.49
1974-03,12.2
1974-04,13.23
1974-05,13.52
1974-06,13.93
1974-07,14.39
1974-08,14.55
1974-09,14.74
1974-10,14.91
1974-11,14.94
1974-12,15.16
1975-01,14.52
1975-02,13.87
1975-03,13.48
1975-04,12.66
1975-05,12.14
1975-06,11.71
