Date,Korea_Rep._of_CPI_Growth
1965-01,19.65
1965-02,14.33
1965-03,12.21
1965-04,11.67
1965-05,8.81
1965-06,13.02
1965-07,17.6
1965-08,19.77
1965-09,15.06
1965-10,12.04
1965-11,10.2
1965-12,9.6
1966-01,7.42
1966-02,8.11
1966-03,9.6
1966-04,9.06
1966-05,9.89
1966-06,11.06
1966-07,9.13
1966-08,10.32
1966-09,12.9
1966-10,16.52
1966-11,15.52
1966-12,15.26
1967-01,13.16
1967-02,11.65
1967-03,11.4
1967-04,13.2
1967-05,11.21
1967-06,9.79
1967-07,10.46
1967-08,9.55
1967-09,9.27
1967-10,8.19
1967-11,11.7
1967-12,11.52
1968-01,13.09
1968-02,13.25
1968-03,12.8
1968-04,9.79
1968-05,8.97
1968-06,10.61
1968-07,10.36
1968-08,9.75
1968-09,8.58
1968-10,9.76
1968-11,11.64
1968-12,11.03
1969-01,11.74
1969-02,10.65
1969-03,10.4
1969-04,11.07
1969-05,11.57
1969-06,11.52
1969-07,11.6
1969-08,11.46
1969-09,14.45
1969-10,14.44
1969-11,13.06
1969-12,16.29
1970-01,14.87
1970-02,16.47
1970-03,18.12
1970-04,20.0
1970-05,18.02
1970-06,15.14
1970-07,15.97
1970-08,16.18
1970-09,15.28
1970-10,14.48
1970-11,13.01
1970-12,14.42
1971-01,15.86
1971-02,15.86
1971-03,15.52
1971-04,12.61
1971-05,11.73
1971-06,13.94
1971-07,15.15
1971-08,15.36
1971-09,14.5
1971-10,11.41
1971-11,11.82
1971-12,9.08
1972-01,7.94
1972-02,9.21
1972-03,10.18
1972-04,11.38
1972-05,13.84
1972-06,14.65
1972-07,13.87
1972-08,14.61
1972-09,12.83
1972-10,12.41
1972-11,10.14
1972-12,9.19
1973-01,7.85
1973-02,4.84
1973-03,2.15
1973-04,2.05
1973-05,2.21
1973-06,1.42
1973-07,0.85
1973-08,0.31
1973-09,1.07
1973-10,2.4
1973-11,5.58
1973-12,8.49
1974-01,12.78
1974-02,18.35
1974-03,22.61
1974-04,24.21
1974-05,24.15
1974-06,23.5
1974-07,25.54
1974-08,28.18
1974-09,29.23
1974-10,27.82
1974-11,28.02
1974-12,26.45
1975-01,25.44
1975-02,21.31
1975-03,19.11
1975-04,20.64
1975-05,24.34
1975-06,26.94
1975-07,26.47
1975-08,25.29
1975-09,27.53
1975-10,30.54
1975-11,27.85
1975-12,26.45
1976-01,23.03
1976-02,22.18
1976-03,21.98
1976-04,19.52
1976-05,16.09
1976-06,15.68
1976-07,15.79
1976-08,14.49
1976-09,11.48
1976-10,8.75
1976-11,9.46
1976-12,9.6
1977-01,9.72
1977-02,11.07
1977-03,10.7
1977-04,9.62
1977-05,10.09
1977-06,10.08
1977-07,9.38
1977-08,9.71
1977-09,9.22
1977-10,10.08
1977-11,10.6
1977-12,10.96
1978-01,13.3
1978-02,12.99
1978-03,12.9
1978-04,12.64
1978-05,12.59
1978-06,14.6
1978-07,14.81
1978-08,13.53
1978-09,15.49
1978-10,16.84
1978-11,17.01
1978-12,16.4
1979-01,14.09
1979-02,15.69
1979-03,16.28
1979-04,19.3
1979-05,21.8
1979-06,19.63
1979-07,18.47
1979-08,18.63
1979-09,17.86
1979-10,17.64
1979-11,18.8
1979-12,21.2
1980-01,25.39
1980-02,26.41
1980-03,28.78
1980-04,26.62
1980-05,26.65
1980-06,27.02
1980-07,27.45
1980-08,29.16
1980-09,29.78
1980-10,32.51
1980-11,31.26
1980-12,32.2
1981-01,28.76
1981-02,24.4
1981-03,22.26
1981-04,22.41
1981-05,21.32
1981-06,23.17
1981-07,23.38
1981-08,22.6
1981-09,21.9
1981-10,18.32
1981-11,16.64
1981-12,13.69
1982-01,12.41
1982-02,12.05
1982-03,10.96
1982-04,10.18
1982-05,8.62
1982-06,6.35
1982-07,5.56
1982-08,4.79
1982-09,3.94
1982-10,3.95
1982-11,4.22
1982-12,4.84
1983-01,5.13
1983-02,5.34
1983-03,4.74
1983-04,4.27
1983-05,3.77
1983-06,3.06
1983-07,2.83
1983-08,2.59
1983-09,2.27
1983-10,2.43
1983-11,2.83
1983-12,1.96
1984-01,1.8
1984-02,2.01
1984-03,2.01
1984-04,2.61
1984-05,2.15
1984-06,1.71
1984-07,1.71
1984-08,2.15
1984-09,3.19
1984-10,2.74
1984-11,2.75
1984-12,2.45
1985-01,2.11
1985-02,1.93
1985-03,1.67
1985-04,1.47
1985-05,2.34
1985-06,2.96
1985-07,2.96
1985-08,2.65
1985-09,2.58
1985-10,3.4
1985-11,2.4
1985-12,3.01
1986-01,3.66
1986-02,3.54
1986-03,3.63
1986-04,3.43
1986-05,3.3
1986-06,3.0
1986-07,3.1
1986-08,2.79
1986-09,2.27
1986-10,0.98
1986-11,1.99
1986-12,1.39
1987-01,0.88
1987-02,0.49
1987-03,1.07
1987-04,1.76
1987-05,2.71
1987-06,2.82
1987-07,2.42
1987-08,3.98
1987-09,4.05
1987-10,5.17
1987-11,5.17
1987-12,6.05
1988-01,6.23
1988-02,7.77
1988-03,8.48
1988-04,7.66
1988-05,6.6
1988-06,7.36
1988-07,7.86
1988-08,6.91
1988-09,6.49
1988-10,6.12
1988-11,7.15
1988-12,7.18
1989-01,6.78
1989-02,5.41
1989-03,4.62
1989-04,5.25
1989-05,6.02
1989-06,5.54
1989-07,5.27
1989-08,5.5
1989-09,6.18
1989-10,6.73
1989-11,6.07
1989-12,5.07
1990-01,7.32
1990-02,7.62
1990-03,7.99
1990-04,8.75
1990-05,8.58
1990-06,8.94
1990-07,9.36
1990-08,8.98
1990-09,8.63
1990-10,8.69
1990-11,8.61
1990-12,9.34
1991-01,9.16
1991-02,9.93
1991-03,10.13
1991-04,9.41
