Date,Canada_CPI_Growth
1965-01,1.84
1965-02,1.84
1965-03,1.84
1965-04,1.83
1965-05,1.83
1965-06,3.05
1965-07,2.42
1965-08,2.42
1965-09,2.42
1965-10,2.42
1965-11,3.03
1965-12,3.01
1966-01,3.01
1966-02,3.61
1966-03,4.22
1966-04,4.19
1966-05,4.19
1966-06,3.55
1966-07,3.55
1966-08,4.14
1966-09,4.14
1966-10,4.14
1966-11,3.53
1966-12,3.51
1967-01,3.51
1967-02,2.91
1967-03,2.89
1967-04,2.87
1967-05,3.45
1967-06,3.43
1967-07,4.0
1967-08,3.98
1967-09,3.98
1967-10,3.98
1967-11,3.98
1967-12,3.95
1968-01,4.52
1968-02,4.52
1968-03,4.49
1968-04,3.91
1968-05,3.33
1968-06,3.31
1968-07,3.85
1968-08,3.83
1968-09,3.83
1968-10,3.83
1968-11,4.92
1968-12,4.35
1969-01,3.78
1969-02,3.78
1969-03,3.76
1969-04,5.38
1969-05,5.38
1969-06,5.35
1969-07,4.76
1969-08,4.74
1969-09,4.74
1969-10,4.74
1969-11,3.65
1969-12,4.69
1970-01,5.21
1970-02,5.21
1970-03,4.66
1970-04,3.57
1970-05,3.57
1970-06,3.05
1970-07,3.54
1970-08,3.02
1970-09,2.51
1970-10,2.51
1970-11,2.51
1970-12,1.0
1971-01,0.99
1971-02,1.49
1971-03,1.49
1971-04,1.97
1971-05,1.97
1971-06,2.46
1971-07,2.44
1971-08,3.41
1971-09,3.43
1971-10,3.92
1971-11,3.92
1971-12,4.93
1972-01,4.9
1972-02,4.88
1972-03,5.37
1972-04,4.83
1972-05,4.83
1972-06,4.33
1972-07,4.76
1972-08,4.72
1972-09,5.69
1972-10,5.19
1972-11,5.19
1972-12,5.16
1973-01,5.61
1973-02,6.05
1973-03,5.56
1973-04,6.45
1973-05,6.91
1973-06,7.83
1973-07,7.73
1973-08,8.11
1973-09,8.07
1973-10,8.52
1973-11,9.42
1973-12,9.38
1974-01,9.29
1974-02,9.21
1974-03,10.53
1974-04,9.96
1974-05,11.64
1974-06,11.54
1974-07,10.97
1974-08,10.83
1974-09,11.2
1974-10,11.98
1974-11,11.89
1974-12,12.65
1975-01,11.74
1975-02,12.05
1975-03,11.11
1975-04,11.02
1975-05,10.04
1975-06,10.34
1975-07,11.03
1975-08,10.9
1975-09,10.45
1975-10,9.96
1975-11,10.26
1975-12,9.42
1976-01,9.78
1976-02,9.32
1976-03,9.29
1976-04,8.87
1976-05,8.42
1976-06,7.99
1976-07,7.19
1976-08,6.1
1976-09,6.42
1976-10,6.38
1976-11,5.65
1976-12,5.63
1977-01,6.27
1977-02,6.23
1977-03,7.19
1977-04,7.49
1977-05,8.09
1977-06,7.72
