Date,Italy_CPI_Growth
1965-01,5.54
1965-02,5.6
1965-03,5.52
1965-04,5.51
1965-05,4.81
1965-06,4.43
1965-07,4.4
1965-08,4.25
1965-09,4.09
1965-10,3.65
1965-11,3.28
1965-12,3.33
1966-01,3.11
1966-02,2.89
1966-03,2.61
1966-04,2.75
1966-05,2.67
1966-06,2.39
1966-07,1.9
1966-08,1.9
1966-09,1.69
1966-10,1.83
1966-11,2.09
1966-12,2.35
1967-01,3.05
1967-02,3.36
1967-03,3.63
1967-04,3.45
1967-05,3.61
1967-06,3.91
1967-07,4.04
1967-08,4.11
1967-09,4.54
1967-10,4.3
1967-11,3.78
1967-12,3.03
1968-01,2.24
1968-02,1.95
1968-03,1.84
1968-04,1.94
1968-05,1.74
1968-06,1.35
1968-07,0.96
1968-08,0.77
1968-09,0.38
1968-10,0.57
1968-11,0.67
1968-12,0.96
1969-01,1.05
1969-02,1.24
1969-03,1.53
1969-04,1.71
1969-05,1.9
1969-06,2.38
1969-07,3.15
1969-08,3.43
1969-09,3.52
1969-10,3.71
1969-11,4.08
1969-12,4.17
1970-01,4.34
1970-02,5.0
1970-03,4.98
1970-04,5.05
1970-05,5.22
1970-06,5.02
1970-07,4.62
1970-08,4.52
1970-09,4.97
1970-10,5.14
1970-11,5.38
1970-12,5.36
1971-01,5.22
1971-02,4.77
1971-03,4.8
1971-04,4.64
1971-05,4.78
1971-06,4.69
1971-07,4.81
1971-08,4.82
1971-09,4.87
1971-10,4.91
1971-11,4.58
1971-12,4.61
1972-01,4.67
1972-02,4.85
1972-03,4.73
1972-04,4.62
1972-05,4.98
1972-06,5.45
1972-07,5.53
1972-08,6.0
1972-09,6.34
1972-10,6.97
1972-11,7.31
1972-12,7.38
1973-01,8.09
1973-02,8.7
1973-03,9.59
1973-04,10.5
1973-05,11.13
1973-06,11.52
1973-07,11.75
1973-08,11.77
1973-09,11.3
1973-10,11.0
1973-11,11.44
1973-12,12.52
1974-01,13.17
1974-02,14.3
1974-03,15.99
1974-04,16.25
1974-05,16.17
1974-06,16.76
1974-07,18.45
1974-08,20.26
1974-09,23.02
1974-10,24.35
1974-11,25.24
1974-12,24.5
1975-01,24.11
1975-02,23.31
1975-03,20.32
1975-04,20.43
1975-05,19.72
1975-06,18.95
1975-07,17.08
1975-08,15.31
1975-09,13.0
1975-10,12.12
1975-11,11.26
1975-12,11.24
1976-01,10.97
1976-02,11.78
1976-03,13.87
1976-04,15.36
1976-05,16.71
1976-06,16.34
1976-07,16.45
1976-08,16.99
1976-09,18.0
1976-10,20.08
1976-11,21.32
1976-12,20.5
1977-01,20.78
1977-02,20.44
1977-03,19.56
1977-04,17.92
1977-05,17.01
1977-06,17.28
1977-07,17.39
1977-08,17.2
1977-09,16.72
1977-10,14.97
1977-11,13.63
1977-12,14.06
1978-01,13.52
1978-02,12.54
1978-03,12.57
1978-04,12.24
1978-05,11.92
1978-06,12.09
1978-07,12.11
1978-08,11.66
1978-09,12.01
1978-10,11.52
1978-11,11.57
1978-12,11.6
1979-01,12.55
1979-02,13.06
1979-03,13.13
1979-04,13.47
1979-05,13.66
1979-06,13.62
1979-07,13.92
1979-08,14.67
1979-09,15.79
1979-10,16.9
1979-11,17.31
1979-12,18.82
1980-01,20.59
1980-02,20.85
1980-03,20.5
1980-04,20.93
1980-05,20.84
1980-06,20.94
1980-07,22.03
1980-08,22.03
1980-09,21.35
1980-10,21.15
1980-11,21.98
1980-12,19.55
1981-01,18.03
1981-02,18.27
1981-03,18.73
1981-04,18.39
1981-05,19.04
1981-06,19.3
1981-07,17.91
1981-08,17.59
1981-09,16.93
1981-10,16.98
1981-11,16.64
1981-12,18.11
1982-01,17.6
1982-02,17.09
1982-03,16.4
1982-04,15.84
1982-05,15.33
1982-06,15.25
1982-07,16.0
1982-08,17.03
1982-09,17.12
1982-10,17.07
1982-11,16.61
1982-12,16.44
1983-01,16.21
1983-02,16.05
1983-03,16.15
1983-04,16.39
1983-05,16.06
1983-06,15.52
1983-07,15.04
1983-08,13.55
1983-09,13.35
1983-10,13.13
1983-11,12.81
1983-12,12.29
1984-01,12.27
1984-02,12.11
1984-03,11.87
1984-04,11.55
1984-05,11.33
1984-06,11.32
1984-07,10.66
1984-08,10.67
1984-09,10.09
1984-10,9.52
1984-11,9.17
1984-12,9.37
1985-01,9.26
1985-02,9.31
1985-03,9.44
1985-04,9.39
1985-05,9.46
1985-06,9.49
1985-07,9.45
1985-08,9.11
1985-09,8.89
1985-10,8.92
1985-11,8.92
1985-12,8.89
1986-01,8.22
1986-02,7.3
1986-03,6.93
1986-04,6.38
1986-05,6.13
1986-06,5.69
1986-07,5.48
1986-08,5.57
1986-09,5.24
1986-10,4.7
1986-11,4.37
1986-12,4.15
1987-01,4.23
1987-02,4.41
1987-03,4.19
1987-04,4.38
1987-05,4.36
1987-06,4.54
1987-07,4.73
1987-08,4.81
1987-09,5.17
1987-10,5.52
1987-11,5.4
1987-12,5.19
1988-01,5.17
1988-02,5.05
1988-03,5.21
1988-04,5.1
1988-05,4.99
1988-06,4.97
1988-07,4.96
1988-08,5.04
1988-09,4.92
1988-10,4.79
1988-11,5.12
1988-12,5.38
1989-01,5.53
1989-02,5.94
1989-03,6.09
1989-04,6.33
1989-05,6.48
1989-06,6.55
1989-07,6.53
1989-08,6.34
1989-09,6.3
1989-10,6.43
1989-11,6.3
1989-12,6.28
1990-01,6.57
1990-02,6.51
1990-03,6.31
1990-04,6.2
1990-05,6.01
1990-06,6.06
1990-07,6.21
1990-08,6.68
1990-09,6.73
1990-10,6.76
1990-11,6.8
1990-12,6.61
1991-01,6.28
1991-02,6.27
1991-03,6.47
1991-04,6.47
1991-05,6.54
1991-06,6.56
1991-07,6.63
1991-08,6.21
1991-09,6.15
1991-10,5.77
1991-11,5.82
1991-12,5.88
1992-01,5.9
1992-02,5.66
1992-03,5.53
1992-04,5.51
1992-05,5.59
1992-06,5.37
1992-07,5.16
1992-08,5.15
1992-09,4.85
1992-10,4.82
1992-11,4.88
1992-12,4.87
1993-01,4.75
1993-02,4.54
1993-03,4.43
1993-04,4.5
1993-05,4.39
1993-06,4.74
1993-07,4.91
1993-08,4.72
1993-09,4.8
1993-10,4.87
1993-11,4.48
1993-12,4.38
1994-01,4.36
1994-02,4.43
1994-03,4.33
1994-04,4.05
1994-05,4.3
1994-06,3.84
1994-07,3.74
1994-08,3.83
1994-09,3.9
1994-10,3.88
1994-11,3.95
1994-12,4.03
1995-01,3.93
1995-02,4.24
1995-03,4.9
1995-04,5.14
1995-05,5.19
1995-06,5.67
1995-07,5.58
1995-08,5.73
1995-09,5.63
1995-10,5.52
1995-11,5.66
1995-12,5.57
1996-01,5.58
1996-02,5.23
1996-03,4.72
1996-04,4.71
1996-05,4.46
1996-06,4.01
1996-07,3.75
1996-08,3.52
1996-09,3.38
1996-10,3.08
1996-11,2.92
1996-12,2.86
1997-01,2.73
1997-02,2.43
1997-03,2.32
1997-04,2.03
1997-05,1.92
1997-06,1.73
1997-07,1.82
1997-08,1.82
1997-09,1.82
1997-10,2.01
1997-11,2.0
1997-12,1.9
1998-01,1.9
1998-02,2.09
1998-03,2.08
1998-04,2.08
1998-05,1.98
1998-06,2.07
1998-07,2.07
1998-08,2.07
1998-09,1.98
1998-10,1.88
1998-11,1.59
1998-12,1.68
1999-01,1.49
1999-02,1.39
1999-03,1.3
1999-04,1.48
1999-05,1.48
1999-06,1.39
1999-07,1.66
1999-08,1.66
1999-09,1.85
1999-10,2.03
1999-11,2.12
1999-12,2.11
2000-01,2.2
2000-02,2.38
2000-03,2.47
2000-04,2.28
2000-05,2.46
2000-06,2.73
2000-07,2.63
2000-08,2.63
2000-09,2.63
2000-10,2.62
2000-11,2.7
2000-12,2.7
2001-01,2.96
2001-02,2.95
2001-03,2.77
2001-04,3.12
2001-05,3.02
2001-06,3.01
2001-07,2.92
2001-08,2.83
2001-09,2.65
2001-10,2.46
2001-11,2.37
2001-12,2.37
2002-01,2.36
2002-02,2.35
2002-03,2.52
2002-04,2.34
2002-05,2.33
2002-06,2.15
2002-07,2.24
2002-08,2.41
2002-09,2.58
2002-10,2.66
2002-11,2.83
2002-12,2.83
2003-01,2.81
2003-02,2.63
2003-03,2.71
2003-04,2.7
2003-05,2.7
2003-06,2.7
2003-07,2.69
2003-08,2.77
2003-09,2.77
2003-10,2.59
2003-11,2.5
2003-12,2.5
2004-01,2.24
2004-02,2.32
2004-03,2.31
2004-04,2.3
2004-05,2.3
2004-06,2.38
2004-07,2.29
2004-08,2.29
2004-09,2.12
2004-10,2.04
2004-11,1.87
2004-12,2.03
2005-01,1.87
2005-02,1.94
2005-03,1.94
2005-04,1.85
2005-05,1.93
2005-06,1.76
2005-07,2.08
2005-08,2.0
2005-09,2.0
2005-10,2.24
2005-11,2.23
2005-12,1.99
2006-01,2.23
2006-02,2.14
2006-03,2.06
2006-04,2.21
2006-05,2.2
2006-06,2.28
2006-07,2.2
2006-08,2.19
2006-09,2.11
2006-10,1.8
2006-11,1.8
2006-12,1.87
2007-01,1.71
2007-02,1.79
2007-03,1.71
2007-04,1.55
2007-05,1.54
2007-06,1.69
2007-07,1.61
2007-08,1.61
2007-09,1.69
2007-10,2.07
2007-11,2.38
2007-12,2.61
2008-01,2.99
2008-02,2.9
2008-03,3.28
2008-04,3.35
2008-05,3.57
2008-06,3.79
2008-07,4.08
2008-08,4.07
2008-09,3.77
2008-10,3.46
2008-11,2.7
2008-12,2.24
2009-01,1.64
2009-02,1.63
2009-03,1.18
2009-04,1.18
2009-05,0.88
2009-06,0.51
2009-08,0.14
2009-09,0.22
2009-10,0.29
2009-11,0.66
2009-12,1.02
2010-01,1.32
2010-02,1.17
2010-03,1.39
2010-04,1.53
2010-05,1.38
2010-06,1.31
2010-07,1.67
2010-08,1.59
2010-09,1.6
2010-10,1.74
2010-11,1.74
2010-12,1.88
2011-01,2.15
2011-02,2.38
2011-03,2.49
2011-04,2.62
2011-05,2.65
2011-06,2.75
2011-07,2.68
2011-08,2.76
2011-09,2.98
2011-10,3.36
2011-11,3.26
2011-12,3.29
2012-01,3.16
2012-02,3.25
2012-03,3.34
2012-04,3.32
2012-05,3.22
2012-06,3.31
2012-07,3.11
2012-08,3.2
2012-09,3.2
2012-10,2.6
2012-11,2.51
2012-12,2.31
2013-01,2.2
2013-02,1.91
